"FAPP-cpupa","Thread","0","3","0","all","0","1","476828832","4344003207","182955559","49660782","1763","2530486153","334049796","178459216","30074519","1738601"
"FAPP-cpupa","Thread","0","3","1","all","0","1","159667776","3178204037","61020180","49643520","0","66487610","7314026","64808653","7085057","1680778"
"FAPP-cpupa","Thread","0","3","2","all","0","1","149959904","2989494332","61020180","49643520","0","66486141","7312663","64808653","7085057","1680778"
"FAPP-cpupa","Thread","0","3","3","all","0","1","141980544","2839572442","61020180","49643520","0","66483913","7311232","64808653","7085057","1680779"
"FAPP-cpupa","Thread","0","3","4","all","0","1","141930240","2836129928","61020180","49643520","0","66485856","7312197","64808653","7085057","1680778"
"FAPP-cpupa","Thread","0","3","5","all","0","1","141981056","2813510544","61020180","49643520","0","66486005","7312254","64808653","7085057","1680778"
"FAPP-cpupa","Thread","0","3","6","all","0","1","141930208","2801625306","61020180","49643520","0","66484398","7311378","64808653","7085057","1680777"
"FAPP-cpupa","Thread","0","3","7","all","0","1","149929856","2978000726","61020180","49643520","0","66486311","7312856","64808653","7085057","1680780"
"FAPP-cpupa","Thread","0","3","8","all","0","1","141930624","2807123886","61020180","49643520","0","66485083","7311744","64808653","7085057","1680778"
"FAPP-cpupa","Thread","0","3","9","all","0","1","150074240","2997224660","61020180","49643520","0","66486148","7312678","64808653","7085057","1680778"
"FAPP-cpupa","Thread","0","3","10","all","0","1","141931072","2838582766","61020180","49643520","0","66483336","7310803","64808653","7085057","1680777"
"FAPP-cpupa","Thread","0","3","11","all","0","1","142196928","2842703210","61020180","49643520","0","66485914","7312163","64808653","7085057","1680776"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","126556512","2530394120","724992000","589824000","0","789610411","86623663","770006511","84181915","19969285"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","10547552","210878263","60416000","49152000","0","65811549","7226139","64171073","7018840","1664108"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","10547392","210882589","60416000","49152000","0","65799950","7217982","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","10547456","210883643","60416000","49152000","0","65799948","7217981","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","10547200","210882823","60416000","49152000","0","65799916","7217965","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","10543232","210816340","60416000","49152000","0","65799736","7217879","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","10543328","210817261","60416000","49152000","0","65799908","7217961","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","10547584","210883082","60416000","49152000","0","65799950","7217986","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","10546976","210881591","60416000","49152000","0","65799726","7217870","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","10547360","210883185","60416000","49152000","0","65799900","7217961","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","10547360","210881250","60416000","49152000","0","65799946","7217980","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","10547520","210883831","60416000","49152000","0","65799924","7217969","64166858","7014825","1664107"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","10543552","210820262","60416000","49152000","0","65799958","7217990","64166858","7014825","1664107"
"FAPP-cpupa","Process","0","1","-","all","0","12","2062720064","35395476820","854177539","595739502","1763","2539233697","408705818","891354381","108010142","20227153"
