"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:51 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","2","4","all","0","1","137717632","2753142543","23658338","1266944","0","0","0","24","10","328146"
"FAPP-cpupa","Thread","0","2","5","all","0","1","137667328","2753309118","23658338","1266944","0","0","0","24","10","326179"
"FAPP-cpupa","Thread","0","2","6","all","0","1","147532192","2946412252","23658338","1266944","0","0","0","24","10","329258"
"FAPP-cpupa","Thread","0","2","7","all","0","1","147671264","2953322088","23658338","1266944","0","0","0","24","10","329887"
"FAPP-cpupa","Thread","0","2","8","all","0","1","147968736","2959337852","23658338","1266944","0","0","0","24","10","329099"
"FAPP-cpupa","Thread","0","2","9","all","0","1","137931648","2756176026","23658338","1266944","0","0","0","24","10","328220"
"FAPP-cpupa","Thread","0","2","10","all","0","1","137717824","2754182966","23658338","1266944","0","0","0","24","10","329347"
"FAPP-cpupa","Thread","0","2","11","all","0","1","137705216","2749677204","23658338","1266944","0","0","0","24","10","327324"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","126517696","2529652719","281088588","15052800","0","0","0","96","0","3411531"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","10544480","210824495","23424049","1254400","0","0","0","8","0","287811"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","10544480","210825998","23424049","1254400","0","0","0","8","0","284356"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","10544448","210825489","23424049","1254400","0","0","0","8","0","284126"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","10544544","210825255","23424049","1254400","0","0","0","8","0","284050"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","10540832","210767839","23424049","1254400","0","0","0","8","0","284076"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","10544416","210825721","23424049","1254400","0","0","0","8","0","284091"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","10544576","210825640","23424049","1254400","0","0","0","8","0","283939"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","10544320","210824384","23424049","1254400","0","0","0","8","0","283896"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","10544160","210826000","23424049","1254400","0","0","0","8","0","283756"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","10540320","210757088","23424049","1254400","0","0","0","8","0","283893"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","10540640","210763888","23424049","1254400","0","0","0","8","0","283962"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","10540480","210760922","23424049","1254400","0","0","0","8","0","283575"
"FAPP-cpupa","Process","0","1","-","all","0","12","2062510912","35742528570","283908395","15204673","0","0","16","1608377","1514119","1078977375"
"FAPP-cpupa","Thread","0","1","0","all","0","1","474746688","4220365862","23666677","1268289","0","0","16","1608113","1514009","1075357661"
"FAPP-cpupa","Thread","0","1","1","all","0","1","139615648","2766313843","23658338","1266944","0","0","0","24","10","327835"
"FAPP-cpupa","Thread","0","1","2","all","0","1","139831424","2765202636","23658338","1266944","0","0","0","24","10","327056"
"FAPP-cpupa","Thread","0","1","3","all","0","1","149795584","2975189869","23658338","1266944","0","0","0","24","10","337186"
"FAPP-cpupa","Thread","0","1","4","all","0","1","139564672","2791254529","23658338","1266944","0","0","0","24","10","326119"
"FAPP-cpupa","Thread","0","1","5","all","0","1","139615840","2760813749","23658338","1266944","0","0","0","24","10","328003"
"FAPP-cpupa","Thread","0","1","6","all","0","1","161483104","3203674624","23658338","1266944","0","0","0","24","10","332569"
"FAPP-cpupa","Thread","0","1","7","all","0","1","139564928","2776135255","23658338","1266944","0","0","0","24","10","327942"
"FAPP-cpupa","Thread","0","1","8","all","0","1","139610592","2755341918","23658338","1266944","0","0","0","24","10","326320"
"FAPP-cpupa","Thread","0","1","9","all","0","1","149452928","2973944497","23658338","1266944","0","0","0","24","10","329802"
"FAPP-cpupa","Thread","0","1","10","all","0","1","149619360","2982647851","23658338","1266944","0","0","0","24","10","330184"
"FAPP-cpupa","Thread","0","1","11","all","0","1","139610144","2771643937","23658338","1266944","0","0","0","24","10","326698"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","130953568","2618385595","281088588","15052800","0","0","0","96","0","3407845"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","10914912","218221672","23424049","1254400","0","0","0","8","0","287512"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","10913984","218221039","23424049","1254400","0","0","0","8","0","284169"
