"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:33 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.780213","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109132","-","-","1"
"FAPP-time-stat","0","3","all","0","4.753636","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105499","-","-","1"
"FAPP-time-stat","0","1","all","0","4.730494","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109074","-","-","1"
"FAPP-time-stat","0","2","all","0","4.703824","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109083","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0309","0x0396","0x0370","0x0121","0x0318","0x0319","0x031a","0x031b"
"FAPP-cpupa","Thread","0","3","1","all","0","1","139907424","2772493275","37362765","8288571","954582","175422885","4267","6117","13489","3947232"
"FAPP-cpupa","Thread","0","3","2","all","0","1","147942080","2938472233","37369453","8288793","954882","175430847","4927","9583","16992","3949418"
"FAPP-cpupa","Thread","0","3","3","all","0","1","139956384","2767797128","37360639","8288462","953928","175425212","3900","6150","13603","3946860"
"FAPP-cpupa","Thread","0","3","4","all","0","1","139906176","2766731447","37362667","8288566","954562","175419909","4267","6117","13485","3947167"
"FAPP-cpupa","Thread","0","3","5","all","0","1","139957184","2768043876","37363094","8288598","954583","175423087","4305","6163","13649","3947199"
"FAPP-cpupa","Thread","0","3","6","all","0","1","139957312","2773199117","37363140","8288601","954592","175421218","4305","6163","13651","3947220"
"FAPP-cpupa","Thread","0","3","7","all","0","1","158599648","3171953526","37374895","8289084","955400","175436725","5708","11549","18856","3956494"
"FAPP-cpupa","Thread","0","3","8","all","0","1","147910784","2937709766","37368169","8288744","954844","175430816","4824","9003","16647","3949287"
"FAPP-cpupa","Thread","0","3","9","all","0","1","139945632","2762148184","37360946","8288474","954011","175426427","3997","6146","13560","3946914"
"FAPP-cpupa","Thread","0","3","10","all","0","1","140172256","2803336774","37362290","8288555","954252","175422003","3916","6226","13776","3947809"
"FAPP-cpupa","Thread","0","3","11","all","0","1","148051712","2924421758","37368977","8288719","954328","175430983","4652","10233","17461","3949349"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","126663616","2532545786","433495996","97306732","11152760","2081976139","256","1364","10351","36951768"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","10556896","211068296","36124718","8108887","929399","173526314","23","114","864","3079332"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","10556896","211069740","36124884","8108920","929428","173496961","23","114","862","3079333"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","10556928","211068675","36124751","8108892","929408","173495820","23","114","864","3079332"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","10552704","211005498","36124463","8108882","929372","173495621","21","113","862","3079287"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","10556416","211068825","36124800","8108904","929414","173495498","23","114","862","3079328"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","10556960","211068991","36124817","8108911","929420","173496482","23","114","862","3079328"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","10556704","211069253","36124841","8108911","929420","173494511","23","114","862","3079327"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","10556672","211069067","36124789","8108902","929411","173494871","23","114","864","3079337"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","10556576","211069197","36124802","8108904","929414","173494856","23","114","863","3079337"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","10552096","210993098","36124414","8108880","929368","173495764","17","113","862","3079277"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","10552288","210997206","36124387","8108872","929364","173495226","17","113","862","3079278"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","10552480","210997940","36124330","8108867","929342","173494215","17","113","862","3079272"
"FAPP-cpupa","Process","0","1","-","all","0","12","2053680512","37132242617","436572712","92043597","7987435","13568787510","134025","48387212","369725","97687"
"FAPP-cpupa","Thread","0","1","0","all","0","1","473054080","5535975564","36688658","7681990","687336","11639078022","42053","4636354","81747","34220"
"FAPP-cpupa","Thread","0","1","1","all","0","1","139996384","2797544035","36347134","7669181","663162","175422416","7811","3975138","23831","4712"
"FAPP-cpupa","Thread","0","1","2","all","0","1","148188256","2963496213","36363347","7669338","664357","175467491","9192","3979976","30200","8308"
"FAPP-cpupa","Thread","0","1","3","all","0","1","140265440","2804167650","36347528","7669194","663207","175424418","7841","3975258","23969","4772"
