"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:27:47 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-cpupa","Thread","0","2","1","all","0","1","142747680","2853772504","221327360","20","3048658","218347","693433","75629","175427274","132137289"
"FAPP-cpupa","Thread","0","2","2","all","0","1","142741152","2828780278","221327360","20","3043388","191660","687627","76575","175423780","132137289"
"FAPP-cpupa","Thread","0","2","3","all","0","1","150678304","3011139921","221327360","20","3044399","224776","686072","78242","175435540","132137289"
"FAPP-cpupa","Thread","0","2","4","all","0","1","142741408","2850498052","221327360","20","3044238","208024","681414","82551","175428570","132137289"
"FAPP-cpupa","Thread","0","2","5","all","0","1","142741888","2845071632","221327360","20","3042796","274920","684872","77932","175432821","132137289"
"FAPP-cpupa","Thread","0","2","6","all","0","1","150546944","2982935081","221327360","20","3041112","341341","684958","76456","175435486","132137289"
"FAPP-cpupa","Thread","0","2","7","all","0","1","150878944","2988185665","221327360","20","3042962","356044","684623","78212","175437938","132137289"
"FAPP-cpupa","Thread","0","2","8","all","0","1","143006368","2844975609","221327360","20","3040527","316773","681338","80213","175426923","132137289"
"FAPP-cpupa","Thread","0","2","9","all","0","1","150714560","2993567854","221327360","20","3046977","289210","688148","78800","175478027","132137289"
"FAPP-cpupa","Thread","0","2","10","all","0","1","161614336","3232245457","221327360","20","3042775","240219","684240","81096","175440578","132137289"
"FAPP-cpupa","Thread","0","2","11","all","0","1","142737248","2854642610","221327360","20","3044115","262901","680695","80872","175428686","132137289"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","126508576","2529425407","2629632000","0","36131049","3079366","8114688","930323","2081975399","1569947400"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","10544032","210810396","219136000","0","2988577","207244","652573","74050","173526302","130828950"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","10544000","210810165","219136000","0","3017773","214179","686590","74610","173496948","130828950"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","10544032","210811262","219136000","0","3012559","187171","680743","75664","173495841","130828950"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","10544064","210810717","219136000","0","3013429","220301","679125","77293","173495994","130828950"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","10540256","210756908","219136000","0","3013471","203750","674593","81607","173495019","130828950"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","10536512","210682184","219136000","0","3011814","270034","678045","77019","173495638","130828950"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","10540064","210751424","219136000","0","3010505","335951","678225","75589","173495073","130828950"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","10539936","210748512","219136000","0","3012089","350678","677677","77285","173495135","130828950"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","10543776","210810022","219136000","0","3009769","311554","674504","79306","173494242","130828950"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","10543936","210811141","219136000","0","3016002","284431","681299","77869","173495964","130828950"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","10543904","210810852","219136000","0","3011847","235770","677408","80127","173495458","130828950"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","10544064","210811824","219136000","0","3013214","258303","673906","79904","173493785","130828950"
"FAPP-cpupa","Process","0","3","-","all","0","12","2070083712","35811354433","2655984044","120935076","37702801","4561539","8302566","988055","7144317632","1587720408"
"FAPP-cpupa","Thread","0","3","0","all","0","1","463972000","3982771994","221383084","120934856","4222254","1644567","766303","122326","5214597463","134210229"
"FAPP-cpupa","Thread","0","3","1","all","0","1","159476160","3189418809","221327360","20","3047836","267939","692304","74969","175446585","132137289"
"FAPP-cpupa","Thread","0","3","2","all","0","1","148465952","2943368571","221327360","20","3043522","213255","688091","76224","175436297","132137289"
"FAPP-cpupa","Thread","0","3","3","all","0","1","140678304","2787139278","221327360","20","3046629","234754","690248","76375","175422321","132137289"
"FAPP-cpupa","Thread","0","3","4","all","0","1","148462368","2941981582","221327360","20","3042595","251504","684016","78453","175431525","132137289"
"FAPP-cpupa","Thread","0","3","5","all","0","1","148663040","2935105139","221327360","20","3041146","256080","682385","79405","175428749","132137289"
"FAPP-cpupa","Thread","0","3","6","all","0","1","148765472","2933026880","221327360","20","3043386","274838","682324","80987","175428695","132137289"
"FAPP-cpupa","Thread","0","3","7","all","0","1","140672096","2781512588","221327360","20","3045044","279068","683727","81284","175428756","132137289"
"FAPP-cpupa","Thread","0","3","8","all","0","1","140942624","2787453807","221327360","20","3039664","277316","680450","80170","175427007","132137289"
"FAPP-cpupa","Thread","0","3","9","all","0","1","140678336","2776181810","221327360","20","3045266","281318","687538","77774","175421724","132137289"
"FAPP-cpupa","Thread","0","3","10","all","0","1","140672512","2813410336","221327360","20","3041945","259306","682463","81881","175416828","132137289"
