"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:02 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","1","all","0","4.737298","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109045","-","-","1"
"FAPP-time-stat","0","0","all","0","4.709463","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109116","-","-","1"
"FAPP-time-stat","0","2","all","0","4.684312","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109139","-","-","1"
"FAPP-time-stat","0","3","all","0","4.659543","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105452","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0240","0x0241","0x0330","0x0274","0x01a4","0x01b4","0x01a5","0x01b5"
"FAPP-cpupa","Process","0","0","-","all","0","12","2082075264","37369064173","3523152340","3700258471","1319170108","471508938","667032290","8960175785","520265576","8324272860"
"FAPP-cpupa","Thread","0","0","0","all","0","1","470951200","5280060460","2832992313","3081821323","117639209","441355102","127030610","1548979817","126659874","2026507900"
"FAPP-cpupa","Thread","0","0","1","all","0","1","142543840","2846501725","62777128","56253368","109048167","2701804","49099423","673562288","35824984","573211424"
"FAPP-cpupa","Thread","0","0","2","all","0","1","150486784","3008522516","62658765","56170963","109415339","2704995","49054031","673248816","35808904","572951792"
"FAPP-cpupa","Thread","0","0","3","all","0","1","142493568","2823685088","62645995","56080291","108983699","2636725","49124259","674352544","35738262","571818608"
"FAPP-cpupa","Thread","0","0","4","all","0","1","142765792","2823787649","62663866","56209409","109082517","2731738","49057610","673326944","35799441","572795616"
"FAPP-cpupa","Thread","0","0","5","all","0","1","150514880","3010134430","62714332","56201354","109495663","2755596","49071941","673532160","35789048","572629584"
"FAPP-cpupa","Thread","0","0","6","all","0","1","142493600","2829234257","62885617","56309729","109003378","2819500","49131063","674274480","35770425","572334016"
"FAPP-cpupa","Thread","0","0","7","all","0","1","161671360","3233273379","62828328","56255552","109810009","2755935","49083187","673605312","35810762","572979440"
"FAPP-cpupa","Thread","0","0","8","all","0","1","142538112","2850721858","62742520","56186350","109066399","2735332","49084793","673735184","35772773","572368832"
"FAPP-cpupa","Thread","0","0","9","all","0","1","150629152","3010123861","62797855","56280191","109621304","2806118","49120561","674182432","35747378","571962704"
"FAPP-cpupa","Thread","0","0","10","all","0","1","142493088","2840115691","62714444","56291679","109004146","2755452","49094951","673728864","35764556","572238384"
"FAPP-cpupa","Thread","0","0","11","all","0","1","142493888","2812903259","62731177","56198262","109000278","2750641","49079861","673646944","35779169","572474560"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","130998496","2619228371","740146020","663753783","1227083465","31057549","583206411","8003009568","425039065","6800675872"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","10918464","218295100","60203659","53589573","102259798","2112525","48591637","665895648","35358638","565738224"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","10913664","218226374","61845502","55497555","102252259","2594985","48609608","666825440","35467793","567494544"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","10914368","218238782","61716819","55407221","102252745","2593291","48564622","666514032","35451831","567236384"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","10911904","218191143","61723742","55331390","102250777","2529309","48634517","667617376","35381289","566104848"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","10918176","218296160","61740978","55461162","102260058","2624136","48567849","666592624","35442478","567082112"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","10914496","218242359","61773412","55438154","102253192","2643268","48581645","666789888","35432472","566922192"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","10918432","218295528","61961675","55560405","102259977","2711790","48641259","667536080","35413767","566625440"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","10918336","218296855","61881332","55497662","102260191","2636743","48593444","666870784","35454227","567272592"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","10918080","218295371","61825567","55443155","102259924","2627792","48595378","667008912","35415416","566648864"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","10915648","218258868","61868457","55527463","102254404","2693348","48631054","667440448","35390425","566249536"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","10918432","218295951","61787411","55542260","102260082","2647131","48605363","667001056","35407928","566530640"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","10918496","218295880","61817466","55457783","102260058","2643231","48590035","666917280","35422801","566770496"
