"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:05 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","3","3","all","0","1","141019904","2804045847","175887838","40849","0","175809369","2028","326878","0","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","148606528","2972092806","175891702","42442","0","175809806","1398","328230","0","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","141022016","2801800901","175890308","41417","0","175810964","1833","327295","0","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","141018528","2796836877","175888459","40759","0","175810307","1545","326863","0","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","148544608","2957630990","175905795","42996","0","175823069","1822","329978","0","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","141021216","2800612233","175887532","40640","0","175809407","1470","326708","0","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","141337824","2826719706","175881392","40667","0","175802928","1560","326469","0","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","141022240","2802414500","175889323","40970","0","175810703","1666","326935","0","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","141018528","2795052609","175886052","40327","0","175808578","1532","326452","0","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","141638592","2832049942","2087003621","65348","0","2086895127","8133","3406476","0","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","11804192","236018997","173951976","6555","0","173942310","530","287488","0","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","11804192","236018253","173915625","5870","0","173905781","596","284033","0","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","11804192","236018588","173913626","5395","0","173904642","883","283494","0","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","11804192","236019422","173913752","5341","0","173904736","1016","283502","0","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","11804192","236018105","173913697","5261","0","173904829","538","283577","0","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","11804096","236019069","173915515","5832","0","173905755","799","283878","0","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","11800384","235960995","173913094","5242","0","173904398","565","283366","0","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","11800224","235954779","173913583","5206","0","173904743","718","283539","0","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","11804224","236019755","173912817","5082","0","173904229","462","283300","0","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","11804192","236019394","173914532","5373","0","173905368","758","283761","0","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","11803904","236018951","173913225","5243","0","173904405","700","283400","0","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","11800608","235963634","173912179","4948","0","173903931","568","283138","0","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2069262016","36019702147","8505990510","71042644","4","8423757499","5562458","1082763767","0","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","466271328","4020406760","6571053517","70571262","4","6489725326","5541496","1079138658","0","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","142947840","2858919862","175888432","42079","0","175807606","1626","327380","0","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","142932800","2846885636","175953910","46184","0","175866309","3066","336857","0","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","153096288","3061760785","175918838","44763","0","175832687","2499","332390","0","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","153054336","3056724538","175906188","43973","0","175821474","1795","330411","0","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","152991136","3054880090","175909604","44524","0","175823838","1811","331013","0","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","142942240","2858807459","175883685","41438","0","175804169","1396","326476","0","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","142935136","2848326078","175889215","41451","0","175809697","1615","327187","0","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","142939104","2856260452","175891592","41398","0","175812130","1867","327520","0","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","142941376","2843588324","175889755","41483","0","175809965","1571","327314","0","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","143276064","2855660202","175899401","41918","0","175818861","1671","328878","0","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","142934368","2857481961","175906373","42171","0","175825437","2045","329683","0","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","146889344","2937097102","2087028165","69473","0","2086912200","9240","3410633","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","12242272","244777192","173956498","6892","0","173946041","622","288166","0","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","12242208","244781317","173917483","6213","0","173906967","766","284297","0","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","12236192","244677621","173915981","5797","0","173906213","988","283931","0","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","12238880","244730776","173916027","5680","0","173906319","1228","283966","0","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","12242240","244780603","173915029","5527","0","173905721","771","283774","0","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","12241920","244780685","173917083","5976","0","173906883","790","284228","0","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","12242176","244781254","173915557","5824","0","173905961","599","283797","0","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","12242080","244780602","173914730","5571","0","173905490","652","283647","0","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","12242112","244781066","173914049","5372","0","173905117","850","283497","0","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","12242272","244780412","173915849","5741","0","173906097","649","283891","0","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","12238688","244727212","173915729","5623","0","173906189","590","283922","0","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","12238304","244718362","173914150","5257","0","173905202","735","283517","0","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2059492544","38741876683","21289652072","71010118","2","21207413386","5545270","4282125834","0","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","464079456","7208967085","19354785373","70548869","2","19273432097","5525554","4278512844","0","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","142868768","2824000852","175892763","41925","0","175812537","1671","327867","0","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","150669408","2970656346","175945308","45342","0","175858805","2918","336001","0","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","142872544","2822294125","175890049","41255","0","175810875","2045","327281","0","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","142855904","2823092549","175893084","41124","0","175814056","1789","327667","0","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","142871648","2818624422","175893164","41673","0","175813217","1811","327646","0","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","142856320","2827354704","175896537","41614","0","175816835","1834","328089","0","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","142858816","2819978157","175893932","41223","0","175814829","1707","327646","0","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","150730080","2970354375","175897118","42632","0","175814956","1439","328836","0","0"
