"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:11 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","3","6","all","0","1","152538432","3035641005","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","162647200","3250547075","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","152534464","3050512135","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","152534624","3019234152","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","152665472","3027292202","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","162691424","3233252136","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","131038624","2620041182","204","0","0","0","184324800","24","0","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","10921728","218353531","17","0","0","0","15360400","13","0","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","10920960","218354497","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","10920864","218354932","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","10916832","218287767","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","10920928","218354121","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","10916640","218283367","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","10920832","218353646","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","10920928","218354936","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","10916448","218279312","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","10920864","218355246","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","10920704","218355319","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","10920896","218354508","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2131592864","36912158867","2363","0","1840","492","186483416","9058865","0","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","468372608","3795705624","1989","0","1840","492","15829372","9058524","0","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","150501824","3005779549","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","142881152","2837039941","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","150455648","2977647563","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","150860032","2980290245","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","150459328","3006774568","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","158138464","3162666328","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","158092480","3146711124","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","150456640","2983049973","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","150459552","3009029504","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","150459360","3008043606","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","150455776","2999420842","34","0","0","0","15514004","31","0","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","140597856","2811213875","204","0","0","0","184324800","24","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","11717440","234277065","17","0","0","0","15360400","13","0","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","11717408","234280961","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","11717408","234281400","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","11717408","234281117","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","11717312","234281618","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","11717408","234281162","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","11713664","234226034","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","11717056","234281156","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","11713984","234232432","17","0","0","0","15360400","1","0","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","11713888","234229500","17","0","0","0","15360400","1","0","0"
