"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:23 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","l28-3109c","0","12"
"FAPP-core","0","0","1","l28-3109c","0","13"
"FAPP-core","0","0","2","l28-3109c","0","14"
"FAPP-core","0","0","3","l28-3109c","0","15"
"FAPP-core","0","0","4","l28-3109c","0","16"
"FAPP-core","0","0","5","l28-3109c","0","17"
"FAPP-core","0","0","6","l28-3109c","0","18"
"FAPP-core","0","0","7","l28-3109c","0","19"
"FAPP-core","0","0","8","l28-3109c","0","20"
"FAPP-core","0","0","9","l28-3109c","0","21"
"FAPP-core","0","0","10","l28-3109c","0","22"
"FAPP-core","0","0","11","l28-3109c","0","23"
"FAPP-core","0","3","0","l28-3109c","3","48"
"FAPP-core","0","3","1","l28-3109c","3","49"
"FAPP-core","0","3","2","l28-3109c","3","50"
"FAPP-core","0","3","3","l28-3109c","3","51"
"FAPP-core","0","3","4","l28-3109c","3","52"
"FAPP-core","0","3","5","l28-3109c","3","53"
"FAPP-core","0","3","6","l28-3109c","3","54"
"FAPP-core","0","3","7","l28-3109c","3","55"
"FAPP-core","0","3","8","l28-3109c","3","56"
"FAPP-core","0","3","9","l28-3109c","3","57"
"FAPP-core","0","3","10","l28-3109c","3","58"
"FAPP-core","0","3","11","l28-3109c","3","59"
"FAPP-core","0","1","0","l28-3109c","1","24"
"FAPP-core","0","1","1","l28-3109c","1","25"
"FAPP-core","0","1","2","l28-3109c","1","26"
"FAPP-core","0","1","3","l28-3109c","1","27"
"FAPP-core","0","1","4","l28-3109c","1","28"
"FAPP-core","0","1","5","l28-3109c","1","29"
"FAPP-core","0","1","6","l28-3109c","1","30"
"FAPP-core","0","1","7","l28-3109c","1","31"
"FAPP-core","0","1","8","l28-3109c","1","32"
"FAPP-core","0","1","9","l28-3109c","1","33"
"FAPP-core","0","1","10","l28-3109c","1","34"
"FAPP-core","0","1","11","l28-3109c","1","35"
"FAPP-core","0","2","0","l28-3109c","2","36"
"FAPP-core","0","2","1","l28-3109c","2","37"
"FAPP-core","0","2","2","l28-3109c","2","38"
"FAPP-core","0","2","3","l28-3109c","2","39"
"FAPP-core","0","2","4","l28-3109c","2","40"
"FAPP-core","0","2","5","l28-3109c","2","41"
"FAPP-core","0","2","6","l28-3109c","2","42"
"FAPP-core","0","2","7","l28-3109c","2","43"
"FAPP-core","0","2","8","l28-3109c","2","44"
"FAPP-core","0","2","9","l28-3109c","2","45"
"FAPP-core","0","2","10","l28-3109c","2","46"
"FAPP-core","0","2","11","l28-3109c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.758567","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.109195","-","-","1"
"FAPP-time-stat","0","3","all","0","4.733681","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.105340","-","-","1"
"FAPP-time-stat","0","1","all","0","4.707876","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.109067","-","-","1"
"FAPP-time-stat","0","2","all","0","4.682589","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.109174","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0185","0x0182","0x0183","0x0180","0x0181","0x0187","0x0188","0x018a"
"FAPP-cpupa","Thread","0","3","2","all","0","1","139572480","2790295354","1401232","7126443","157791","62601259","227508","0","0","76709186"
"FAPP-cpupa","Thread","0","3","3","all","0","1","147633664","2952561365","1423802","7386304","151124","62426038","205069","0","0","76442456"
"FAPP-cpupa","Thread","0","3","4","all","0","1","139623040","2789782284","1411436","7514097","155892","63287169","271834","0","0","76417296"
"FAPP-cpupa","Thread","0","3","5","all","0","1","154968480","3089133736","1470261","7392109","153006","62631543","213412","0","0","76393045"
"FAPP-cpupa","Thread","0","3","6","all","0","1","139567040","2776205072","1371147","7868580","148046","63619483","246175","0","0","76177791"
"FAPP-cpupa","Thread","0","3","7","all","0","1","139623296","2790963837","1448355","7898205","191164","63628765","220467","0","0","76569846"
"FAPP-cpupa","Thread","0","3","8","all","0","1","147602368","2942352547","1486910","8221788","154372","63639410","252345","0","0","76527462"
"FAPP-cpupa","Thread","0","3","9","all","0","1","147745728","2950125023","1413706","8233490","166975","63357705","187075","0","0","76504768"
"FAPP-cpupa","Thread","0","3","10","all","0","1","139616832","2792297386","1348143","8106000","144406","63820088","238242","0","0","76364303"
"FAPP-cpupa","Thread","0","3","11","all","0","1","139837856","2796647966","1384709","8559544","156176","63959235","254356","0","0","76491512"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","126472800","2528725189","5180641","93887482","1180014","746707824","2034585","0","0","908552316"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","10541120","210753865","523817","10295543","77540","59297797","232090","0","0","75585527"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","10541152","210753561","358228","6666791","94989","61555299","134005","0","0","75944992"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","10538304","210709885","427994","6992592","94960","61894712","159308","0","0","75955226"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","10536064","210671236","424515","7252130","96082","61725723","150143","0","0","75681517"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","10540992","210754593","445956","7377911","97240","62573815","204383","0","0","75655333"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","10536960","210687966","409434","7257510","95834","61917923","146658","0","0","75633802"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","10541120","210754885","412163","7733202","96484","62903271","176413","0","0","75419141"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","10537216","210693986","479889","7755578","131411","62917662","155573","0","0","75815180"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","10541152","210753534","472998","8078365","94595","62911829","187139","0","0","75768404"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","10536800","210684807","400246","8086496","104266","62662865","128621","0","0","75748605"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","10541152","210753774","403709","7974146","95690","63110028","173928","0","0","75609202"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","10540768","210753097","421692","8417218","100923","63236900","186324","0","0","75735387"
"FAPP-cpupa","Process","0","1","-","all","0","12","2047537568","37348437641","494720277","120065999","36557548","899446708","16152280","0","0","1446125635"
"FAPP-cpupa","Thread","0","1","0","all","0","1","470792288","6079621166","480110681","41881955","34815134","101858863","14402633","0","0","612612421"
"FAPP-cpupa","Thread","0","1","1","all","0","1","139781312","2758586704","1298046","6044692","143443","71655357","200391","0","0","75801720"
"FAPP-cpupa","Thread","0","1","2","all","0","1","147741824","2939569767","1349508","6617210","149428","71488472","186250","0","0","75634479"
"FAPP-cpupa","Thread","0","1","3","all","0","1","157150816","3142915113","1418644","6443888","150329","72335055","161843","0","0","75866334"
"FAPP-cpupa","Thread","0","1","4","all","0","1","139559904","2749193285","1315869","7012879","161563","72472132","150433","0","0","75780360"
"FAPP-cpupa","Thread","0","1","5","all","0","1","139508704","2758577328","1267004","6837337","148711","72037233","163700","0","0","75508621"
"FAPP-cpupa","Thread","0","1","6","all","0","1","139508896","2753550460","1307873","7121735","156892","72268629","151957","0","0","75974336"
"FAPP-cpupa","Thread","0","1","7","all","0","1","147567264","2925667014","1364952","7534832","152994","72743089","153111","0","0","75888823"
"FAPP-cpupa","Thread","0","1","8","all","0","1","139509568","2759072974","1326219","7716784","173882","72788812","140311","0","0","75865725"
"FAPP-cpupa","Thread","0","1","9","all","0","1","139508256","2769825526","1316795","7560991","161923","72927846","157090","0","0","75817473"
"FAPP-cpupa","Thread","0","1","10","all","0","1","139509344","2790086164","1294615","7422892","169842","73761413","127580","0","0","75752460"
"FAPP-cpupa","Thread","0","1","11","all","0","1","147399392","2921772140","1350071","7870804","173407","73109807","156981","0","0","75622883"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","130935904","2618010259","4476932","81128316","1214934","864327602","1344996","0","0","900268464"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","10913440","218201075","440550","4362005","82172","75398132","176899","0","0","75015123"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","10913504","218202066","366361","5933392","94714","70869047","142175","0","0","75048094"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","10913344","218201350","356674","6495324","95928","70708282","126727","0","0","74882267"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","10909536","218142751","381482","6327785","100065","71553936","113734","0","0","75116242"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","10913440","218201971","385139","6888943","108446","71687975","97649","0","0","75027064"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","10913504","218202398","332762","6716513","97717","71257393","106841","0","0","74758693"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","10909472","218141488","375593","6988132","98430","71484418","106262","0","0","75226988"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","10913440","218202092","376245","7398300","94586","71946471","101305","0","0","75139398"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","10913152","218201627","387598","7577494","115514","71991834","87935","0","0","75118615"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","10906976","218090288","372167","7422407","100633","72142421","106022","0","0","75063285"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","10908960","218130251","368528","7293380","119172","72972103","82454","0","0","75000108"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","10907136","218092902","333833","7724641","107557","72315590","96993","0","0","74872587"
"FAPP-cpupa","Process","0","2","-","all","0","12","2059324736","35487494629","524317366","136581085","53041278","904862581","20535138","0","0","1446354964"
"FAPP-cpupa","Thread","0","2","0","all","0","1","468263744","3814191724","509395765","58014678","51275421","106119092","18671973","0","0","612729439"
"FAPP-cpupa","Thread","0","2","1","all","0","1","141488160","2827316317","1388672","6206148","156282","71856723","201330","0","0","75885839"
"FAPP-cpupa","Thread","0","2","2","all","0","1","141537824","2815634450","1374869","6579376","153010","71373816","191537","0","0","76090363"
"FAPP-cpupa","Thread","0","2","3","all","0","1","141537376","2821069043","1323862","6467981","153260","72244809","176066","0","0","75532179"
"FAPP-cpupa","Thread","0","2","4","all","0","1","141760064","2814636254","1359650","7097064","160969","72256137","167798","0","0","76046966"
"FAPP-cpupa","Thread","0","2","5","all","0","1","141536768","2826500637","1350782","6861383","157600","72368303","166925","0","0","75884599"
"FAPP-cpupa","Thread","0","2","6","all","0","1","141537024","2804731572","1313398","7115123","166986","72672073","156814","0","0","75632515"
"FAPP-cpupa","Thread","0","2","7","all","0","1","149789792","2958738019","1360314","7623395","168980","72811024","153533","0","0","75598395"
"FAPP-cpupa","Thread","0","2","8","all","0","1","141488352","2798317344","1367306","7752231","164886","72770421","163333","0","0","75916532"
"FAPP-cpupa","Thread","0","2","9","all","0","1","149493248","2988720038","1365674","7580424","167029","73050719","163951","0","0","75727994"
"FAPP-cpupa","Thread","0","2","10","all","0","1","159367904","3187251786","1401319","7374520","152296","74216882","157448","0","0","75599056"
"FAPP-cpupa","Thread","0","2","11","all","0","1","141524480","2830387445","1315755","7908762","164559","73122582","164430","0","0","75711087"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","131079872","2620853611","4391237","80552291","1179585","863719251","1368811","0","0","900234669"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","10924384","218419645","441181","4012149","83316","75308080","176152","0","0","75326930"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","10920512","218361803","404235","6032664","95902","70941425","138477","0","0","75089684"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","10924288","218419592","400556","6411667","97035","70430386","125830","0","0","75298477"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","10924128","218420121","344373","6294518","96487","71323727","114428","0","0","74738115"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","10924288","218419807","376440","6904627","95197","71298489","107688","0","0","75252552"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","10924416","218420373","369883","6681103","97004","71436063","104117","0","0","75093521"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","10924416","218419997","336462","6930375","106015","71720046","95876","0","0","74839820"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","10920288","218357514","331158","7428398","102634","71873785","99129","0","0","74807958"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","10924288","218420041","387244","7560920","100679","71834680","102286","0","0","75125698"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","10924384","218421075","338064","7392522","104492","72114564","104806","0","0","74935494"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","10920096","218352998","327066","7191523","98821","73266770","98909","0","0","74809286"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","10924384","218420645","334575","7711825","102003","72171236","101113","0","0","74917134"
