"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:49:02 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-cpupa","Thread","0","3","6","all","0","1","144985408","2895474250","121857","0","0","2360","0","0","895735","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","144650784","2883275133","121646","0","0","2814","0","0","896723","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","144652768","2877930075","121264","0","0","3180","0","0","893056","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","154580032","3065589115","121830","0","0","4590","0","0","901224","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","144652448","2856147197","121482","0","0","3030","0","0","895525","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","137093504","2741771141","121804","0","0","13616","0","0","921117","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","86111680","1721485115","1553790","0","0","54450","0","0","10699011","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","7176896","143469686","213162","0","0","1666","0","0","910411","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","7173408","143419478","120781","0","0","15262","0","0","899697","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","7176832","143469827","128655","0","0","4384","0","0","890272","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","7176640","143470418","128296","0","0","1850","0","0","886885","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","7176896","143470235","120401","0","0","1372","0","0","884246","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","7176896","143470332","120051","0","0","1286","0","0","879329","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","7176896","143470740","120561","0","0","2206","0","0","886579","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","7173344","143418546","120421","0","0","2682","0","0","887570","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","7176992","143471146","120143","0","0","3062","0","0","883954","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","7176896","143469820","120547","0","0","4450","0","0","891973","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","7176960","143470800","120227","0","0","2902","0","0","886371","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","7173024","143414087","120545","0","0","13328","0","0","911724","0"
"FAPP-cpupa","Process","0","0","-","all","0","12","2102464448","37751554305","902505","0","0","614746","0","0","10865524","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","472298656","5201985287","871317","0","0","605370","0","0","1502678","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","146586912","2930403826","2954","0","0","1146","0","0","853612","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","159026976","3170873075","2838","0","0","782","0","0","848656","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","146581312","2929183085","2904","0","0","784","0","0","849153","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","139033216","2769215854","2557","0","0","822","0","0","850879","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","146584224","2916577311","2887","0","0","776","0","0","847691","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","146585568","2931678246","2788","0","0","782","0","0","850968","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","158981408","3175404137","2756","0","0","790","0","0","852235","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","146628128","2932426104","2871","0","0","760","0","0","852728","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","146990656","2933692920","2745","0","0","1066","0","0","850097","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","146584608","2929767468","2948","0","0","736","0","0","851402","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","146582784","2930346992","2940","0","0","932","0","0","855425","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","86424512","1727772413","32332","0","0","8660","0","0","10083069","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7203520","144003074","2328","0","0","542","0","0","817196","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7199744","143948020","2829","0","0","954","0","0","844616","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7203520","144003825","2735","0","0","690","0","0","839896","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7199872","143949920","2791","0","0","678","0","0","840364","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7203488","144004538","2438","0","0","706","0","0","842120","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7203584","144003929","2776","0","0","674","0","0","838981","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7203488","144004867","2673","0","0","680","0","0","842199","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7203232","144002553","2649","0","0","702","0","0","843452","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7197312","143898548","2771","0","0","668","0","0","843951","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7203424","144002800","2642","0","0","958","0","0","841151","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7203552","144002991","2845","0","0","646","0","0","842619","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7199776","143947348","2855","0","0","762","0","0","846524","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2115116608","38377925615","2636777","0","0","686307","0","0","11815774","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","470021568","5511673847","1207853","0","0","642535","0","0","1865011","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","148535744","2968293026","129548","0","0","14266","0","0","917729","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","156722624","3130115086","129154","0","0","2644","0","0","898798","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","148539296","2970523855","137454","0","0","1468","0","0","894723","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","148534976","2969451782","128812","0","0","922","0","0","894646","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","156678208","3132432066","129286","0","0","998","0","0","893859","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","148535552","2960993854","129384","0","0","1736","0","0","900572","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","148536640","2970697410","128762","0","0","2328","0","0","902107","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","148666496","2973294848","129148","0","0","2174","0","0","901982","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","148537280","2968251837","129084","0","0","3170","0","0","911010","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","148846464","2967226245","128970","0","0","1994","0","0","900819","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","142961760","2854971759","129322","0","0","12072","0","0","934518","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","86157184","1722418080","1732025","0","0","43982","0","0","10776655","0"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","7180992","143552729","317668","0","0","1832","0","0","928222","0"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","7181056","143553214","128187","0","0","13962","0","0","908227","0"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","7177472","143502269","127849","0","0","2550","0","0","889489","0"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","7177440","143501484","136103","0","0","1292","0","0","885388","0"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","7176384","143479439","127417","0","0","780","0","0","885449","0"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","7180960","143552923","127975","0","0","820","0","0","884477","0"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","7181120","143553809","128053","0","0","1648","0","0","891378","0"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","7181088","143553261","127493","0","0","2232","0","0","892964","0"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","7180992","143553937","127897","0","0","2056","0","0","892773","0"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","7177792","143507998","127799","0","0","3036","0","0","901723","0"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","7180896","143553062","127663","0","0","1884","0","0","891568","0"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","7180992","143553955","127921","0","0","11890","0","0","924997","0"
