"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:41 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","1","4","all","0","1","149232256","2969514666","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","140975648","2815205981","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","141197568","2803377153","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","140969056","2782412991","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","140925376","2816051361","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","140975232","2819402816","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","140926144","2808777343","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","140925440","2818472114","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","86177248","1722835443","0","0","0","589830424","126917115","1212","699466723","0"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","7182784","143587884","0","0","0","49158413","10576440","101","58294224","0"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","7182880","143589878","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","7182528","143589060","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","7182720","143589833","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","7182624","143589308","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","7178688","143526811","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","7182496","143589341","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","7179264","143537048","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","7178976","143530126","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","7182720","143589756","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","7178752","143526720","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","7182816","143589678","0","0","0","49152001","10576425","101","58288409","0"
