"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:55 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","3","5","all","0","1","143360256","2862912731","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","143358048","2862203874","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","150426656","2998134202","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","134789312","2686110724","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","143356320","2867091184","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","150381440","3007472336","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","143356352","2867028200","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","85929248","1717869945","204","0","23040000","0","589824000","6424","0","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","7162560","143182445","17","0","1920000","0","49152000","6413","0","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","7162336","143183492","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","7162560","143183152","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","7156192","143075638","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","7158944","143129137","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","7159232","143136559","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","7162560","143183346","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","7162528","143182993","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","7162528","143183584","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","7162624","143184110","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","7158784","143125968","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","7158400","143119521","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2096034624","37368411820","2363","0","23272240","492","596049845","9071617","0","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","461836608","4817371359","1989","0","1941040","492","49971125","9071276","0","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","147470592","2948269547","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","147821504","2919532964","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","147427776","2944198616","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","147434720","2939021130","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","157254400","3145049012","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","157213184","3141784301","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","147428384","2917115550","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","139872128","2797286603","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","147426272","2927904150","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","147425088","2948406331","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","147423968","2922472257","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","86107392","1721421209","204","0","23040000","0","589824000","6424","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","7177856","143474785","17","0","1920000","0","49152000","6413","0","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","7176736","143474000","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","7177120","143474887","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","7177024","143475452","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","7176928","143475712","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","7177152","143475365","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","7171008","143370535","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","7176768","143473817","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","7173184","143416165","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","7173312","143417164","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","7173376","143419071","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","7176928","143474256","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2040967104","36786080854","2363","0","23272240","492","596049840","9071611","0","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","461309088","5245455980","1989","0","1941040","492","49971120","9071270","0","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","152615808","3052280985","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","143296672","2864704457","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","143296096","2862786589","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","143295616","2854977650","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","143299136","2860608668","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","143296064","2863504117","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","143700160","2873908193","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","143356256","2851983719","34","0","1939200","0","49643520","31","0","0"
