"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:21 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.767019","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071633","-","-","1"
"FAPP-time-stat","0","2","all","0","4.580624","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.071917","-","-","1"
"FAPP-time-stat","0","3","all","0","4.547829","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071779","-","-","1"
"FAPP-time-stat","0","1","all","0","4.503520","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071955","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x01a6","0x01e0","0x03e0","0x03e8","0x01a0","0x01a1","0x01a2","0x01a3"
"FAPP-cpupa","Process","0","0","-","all","0","12","2089903520","36400117825","36752","4094200914","743224395","150923334","2498857954","2746730822","2077062734","2045334601"
"FAPP-cpupa","Thread","0","0","0","all","0","1","476705984","4200235664","35619","523578984","84990130","16753721","1646197619","1892585752","1664163159","1415056530"
"FAPP-cpupa","Thread","0","0","1","all","0","1","143806720","2871843183","103","318547036","58752796","12000687","77726921","77836041","37664459","57491280"
"FAPP-cpupa","Thread","0","0","2","all","0","1","143535232","2865899783","103","317873938","58634860","11979605","77442551","77619457","37448558","57285197"
"FAPP-cpupa","Thread","0","0","3","all","0","1","143578816","2856466522","103","316855742","58451859","11946271","77715003","77846872","37609450","57512657"
"FAPP-cpupa","Thread","0","0","4","all","0","1","143535424","2860338559","103","317264268","58526126","11959892","77436549","77628103","37556134","57229419"
"FAPP-cpupa","Thread","0","0","5","all","0","1","151565376","3031166306","103","335987783","61878501","12565577","77430435","77589277","37485733","57274422"
"FAPP-cpupa","Thread","0","0","6","all","0","1","143535936","2868011159","103","318133163","58676582","11987184","77474900","77520652","37498832","57201669"
"FAPP-cpupa","Thread","0","0","7","all","0","1","143584672","2870492287","103","318410168","58725829","11995892","77449947","77547082","37489895","57204623"
"FAPP-cpupa","Thread","0","0","8","all","0","1","143585184","2856070507","103","316806178","58444374","11944875","77435556","77561205","37492754","57188517"
"FAPP-cpupa","Thread","0","0","9","all","0","1","143585376","2862036414","103","317457163","58560984","11966037","77419669","77552355","37506970","57239735"
"FAPP-cpupa","Thread","0","0","10","all","0","1","151769184","3035281988","103","336426189","61962741","12580273","77443327","77561489","37485936","57262066"
"FAPP-cpupa","Thread","0","0","11","all","0","1","161115616","3222275453","103","356860302","65619613","13243320","77685477","77882537","37660854","57388486"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","86010784","1719521478","1212","240647487","62449640","26699240","920191220","921937552","444883221","680056784"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7169888","143326912","101","20057004","5204895","2225064","76558276","76702057","36841864","56512375"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7165824","143268396","101","20058186","5203567","2224844","76908727","77028251","37225706","56880669"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7165856","143269504","101","20035105","5203579","2224845","76623752","76810166","37008645","56674262"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7169632","143326881","101","20055086","5204895","2225064","76898548","77042087","37173732","56904070"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7165152","143255596","101","20030247","5203277","2224794","76601141","76800291","37093497","56602367"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7163232","143216384","101","20066707","5202463","2224646","76610789","76781068","37043691","56662992"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7169728","143327658","101","20069571","5204913","2225068","76654323","76711815","37059289","56591257"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7165696","143266277","101","20068430","5203503","2224829","76628587","76736396","37048765","56592395"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7169536","143326890","101","20048602","5204898","2225066","76617211","76752765","37054126","56579508"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7167008","143283364","101","20042630","5203873","2224894","76601967","76744400","37067488","56629290"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7169536","143326800","101","20067007","5204880","2225062","76621469","76751235","37044361","56649154"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7169696","143326816","101","20048912","5204897","2225064","76866430","77077021","37222057","56778445"
"FAPP-cpupa","Process","0","2","-","all","0","12","2052978624","37638811356","36221","4272679503","766937595","155229296","4279811477","4524999854","2903948994","2983965359"
"FAPP-cpupa","Thread","0","2","0","all","0","1","458066816","5856068495","35088","747689142","117240414","22600857","3427153222","3670828108","2490928314","2353756704"
"FAPP-cpupa","Thread","0","2","1","all","0","1","141629632","2816163746","103","312447226","57628890","11797702","77451689","77555025","37483963","57309742"
"FAPP-cpupa","Thread","0","2","2","all","0","1","149820544","2979683006","103","330329191","60840089","12377385","77706971","77951226","37646213","57475482"
"FAPP-cpupa","Thread","0","2","3","all","0","1","141608544","2821176110","103","313028984","57727032","11815530","77689685","77901638","37704182","57414025"
