"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:07 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.694305","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.072027","-","-","1"
"FAPP-time-stat","0","0","all","0","4.677475","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071688","-","-","1"
"FAPP-time-stat","0","2","all","0","4.675980","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.071697","-","-","1"
"FAPP-time-stat","0","1","all","0","4.649534","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071661","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0185","0x0182","0x0183","0x0180","0x0181","0x0187","0x0188","0x018a"
"FAPP-cpupa","Process","0","3","-","all","0","12","2029529760","38534565187","519146540","164142394","48786757","61599727","21151879","0","1669","839796069"
"FAPP-cpupa","Thread","0","3","0","all","0","1","469434816","7390957760","502031038","59016465","46697431","28609754","18472634","0","96","561627661"
"FAPP-cpupa","Thread","0","3","1","all","0","1","136650784","2732913449","1486259","9469831","186346","3142480","258851","0","330","25096035"
"FAPP-cpupa","Thread","0","3","2","all","0","1","136378528","2711185264","1619326","9392578","184116","3064256","263757","0","143","25551835"
"FAPP-cpupa","Thread","0","3","3","all","0","1","148398272","2964712467","1529787","9515431","181116","3102770","252755","0","206","25155159"
"FAPP-cpupa","Thread","0","3","4","all","0","1","136378912","2726366906","1534500","9485424","186996","2910413","231928","0","111","25435468"
"FAPP-cpupa","Thread","0","3","5","all","0","1","148426720","2958845566","1557642","9390818","180656","2922363","218556","0","90","25325638"
"FAPP-cpupa","Thread","0","3","6","all","0","1","136379104","2727370641","1499953","9887350","199540","3109980","263322","0","181","25128145"
"FAPP-cpupa","Thread","0","3","7","all","0","1","136378720","2725176317","1564258","9544902","187957","3028450","265639","0","68","25345280"
"FAPP-cpupa","Thread","0","3","8","all","0","1","136430208","2724357864","1571021","9510477","198314","2989469","253818","0","25","25309785"
"FAPP-cpupa","Thread","0","3","9","all","0","1","148538368","2970669201","1581266","9592382","193535","2816820","195710","0","300","25371764"
"FAPP-cpupa","Thread","0","3","10","all","0","1","136378400","2712434424","1554128","9615708","188132","2918550","248293","0","50","25338701"
"FAPP-cpupa","Thread","0","3","11","all","0","1","159756928","3189575328","1617362","9721028","202618","2984422","226616","0","69","25110598"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","86484992","1729008994","6533365","111978428","1358851","35041074","2157942","0","1197","300294444"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","7209376","144114381","640372","8832230","97818","3179733","171476","0","96","24880026"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","7204864","144050772","511617","9297414","116888","3046959","201939","0","97","24847286"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","7208736","144115391","633412","9208810","108437","2962221","201334","0","143","25301358"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","7209184","144114861","475340","9347082","113445","2992735","183822","0","194","24905921"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","7204704","144046293","544331","9304769","111742","2808494","168870","0","111","25185672"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","7208864","144116180","500260","9217414","110506","2808043","148361","0","90","25074619"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","7202400","143999345","501416","9704916","122990","3007160","196494","0","181","24874055"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","7208992","144115308","570615","9367356","115276","2919740","195073","0","57","25095361"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","7208928","144115529","570459","9325061","112261","2884835","188249","0","25","25058318"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","7204928","144049908","540027","9407805","116934","2733531","149347","0","103","25122401"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","7208768","144114620","566731","9434270","112690","2811961","186343","0","50","25088257"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","7205248","144056406","478785","9531301","119864","2885662","166634","0","50","24861170"
"FAPP-cpupa","Process","0","0","-","all","0","12","2048062880","35892124142","523861413","162700627","51568386","54791798","17738008","0","1342","840473460"
"FAPP-cpupa","Thread","0","0","0","all","0","1","467751872","4424641630","506226103","60642805","49646416","24197563","15296375","0","128","561195906"
"FAPP-cpupa","Thread","0","0","1","all","0","1","150148448","3002733948","1751440","8952627","183279","2750333","245061","0","89","25378074"
"FAPP-cpupa","Thread","0","0","2","all","0","1","138042400","2740169959","1560402","9203368","174166","2839367","218199","0","174","25391039"
"FAPP-cpupa","Thread","0","0","3","all","0","1","137989728","2728236154","1546918","9296785","170030","2849643","222858","0","89","25310408"
"FAPP-cpupa","Thread","0","0","4","all","0","1","138264512","2764094131","1573105","9268393","174796","2751017","214196","0","56","25492085"
"FAPP-cpupa","Thread","0","0","5","all","0","1","137991968","2733786166","1518779","9281626","170880","2828721","212338","0","189","25333475"
"FAPP-cpupa","Thread","0","0","6","all","0","1","150063744","2996990274","1660710","9196366","181025","2707166","224197","0","130","25471231"
"FAPP-cpupa","Thread","0","0","7","all","0","1","149958496","2983931890","1599635","9454632","174645","2798710","204826","0","72","25281388"
"FAPP-cpupa","Thread","0","0","8","all","0","1","137991360","2722849011","1573664","9451133","173467","2839149","240859","0","87","25307980"
"FAPP-cpupa","Thread","0","0","9","all","0","1","163875360","3277469074","1732539","9184911","170997","2656435","212280","0","86","25502760"
"FAPP-cpupa","Thread","0","0","10","all","0","1","137992480","2759813214","1539626","9437226","171142","2804362","223294","0","95","25332536"
"FAPP-cpupa","Thread","0","0","11","all","0","1","137992512","2757408691","1578492","9330755","177543","2769332","223525","0","147","25476578"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","86088352","1721041869","7145041","108588236","1383521","33255192","1972271","0","1304","301027716"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7175040","143434137","529311","8528045","93848","3662797","167244","0","116","24649255"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7174976","143434264","607521","8760672","111576","2621137","147225","0","89","25115721"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7171072","143373807","599547","9022347","116565","2751625","165855","0","174","25126530"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7171200","143377077","590771","9113839","114215","2769728","173683","0","82","25048368"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7175008","143434258","607942","9086825","115662","2658522","157610","0","56","25227938"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7175008","143435195","559668","9108977","116945","2732952","150187","0","189","25069406"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7174624","143435270","628808","9009820","122175","2621847","173765","0","130","25207547"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7171392","143378525","568658","9274744","118219","2710788","150644","0","72","25018302"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7174944","143434467","619133","9266180","118456","2754604","185493","0","87","25045198"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7175008","143435431","630982","9007043","118704","2574656","163016","0","67","25238631"
