"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:53 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","2","3","all","0","1","153187552","3047813297","65049","2163911","2097084","2203774","250479","0","0","20443"
"FAPP-cpupa","Thread","0","2","4","all","0","1","135613504","2697066273","65845","2163958","2097064","2205755","251547","0","0","21302"
"FAPP-cpupa","Thread","0","2","5","all","0","1","143666336","2854602490","58872","2163951","2097089","2201885","244398","0","0","24937"
"FAPP-cpupa","Thread","0","2","6","all","0","1","135612736","2702426987","66234","2163908","2097101","2204910","251649","0","0","20486"
"FAPP-cpupa","Thread","0","2","7","all","0","1","135612928","2712220306","66830","2163613","2096997","2205536","252195","0","0","20557"
"FAPP-cpupa","Thread","0","2","8","all","0","1","135878592","2706577472","60926","2163935","2097120","2201961","246170","0","0","22851"
"FAPP-cpupa","Thread","0","2","9","all","0","1","143636160","2862129333","64656","2163917","2097085","2202802","249937","0","0","20001"
"FAPP-cpupa","Thread","0","2","10","all","0","1","135658080","2692514152","60348","2163836","2097081","2201612","246100","0","0","23060"
"FAPP-cpupa","Thread","0","2","11","all","0","1","143777952","2875521815","64553","2163665","2097097","2203796","250182","0","0","21102"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","86374304","1726785957","758109","25663725","24911428","26178484","2961855","0","0","256208"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","7199712","143925346","63161","2109587","2072572","2185691","250175","0","0","23376"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","7195904","143871387","65955","2141533","2076266","2184946","249344","0","0","21647"
