"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:49:16 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.740541","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071926","-","-","1"
"FAPP-time-stat","0","0","all","0","4.732950","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071738","-","-","1"
"FAPP-time-stat","0","1","all","0","4.708457","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071612","-","-","1"
"FAPP-time-stat","0","2","all","0","4.681325","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.071627","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0309","0x0396","0x0370","0x0121","0x0318","0x0319","0x031a","0x031b"
"FAPP-cpupa","Thread","0","0","2","all","0","1","145416384","2887768229","27381316","849780","274523","345023417","3978193","47380","17978","17380"
"FAPP-cpupa","Thread","0","0","3","all","0","1","137234400","2744589987","27365550","849512","273143","345013448","3972336","38277","17137","16384"
"FAPP-cpupa","Thread","0","0","4","all","0","1","145079520","2899209656","27374135","849578","274094","345022486","3976426","43615","17944","17355"
"FAPP-cpupa","Thread","0","0","5","all","0","1","137233664","2743349072","27363382","849393","272708","345059944","3972047","37899","16629","15848"
"FAPP-cpupa","Thread","0","0","6","all","0","1","137498592","2718525876","27365738","849531","273169","345009601","3972391","38276","17139","16390"
"FAPP-cpupa","Thread","0","0","7","all","0","1","137239904","2735124944","27365568","849515","273145","345013901","3972326","38277","17136","16384"
"FAPP-cpupa","Thread","0","0","8","all","0","1","137233568","2744528020","27364087","849429","272782","345013027","3972642","37912","16556","15828"
"FAPP-cpupa","Thread","0","0","9","all","0","1","145240288","2878744173","27377611","849632","273965","345026644","3977600","46356","17473","16877"
"FAPP-cpupa","Thread","0","0","10","all","0","1","156830304","3136504457","27387540","849840","274821","345032762","3983502","52205","20136","19588"
"FAPP-cpupa","Thread","0","0","11","all","0","1","137227776","2729441628","27365600","849507","273156","345012822","3972357","38276","17137","16390"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","86142016","1722121445","313927083","8952714","2961103","4096929826","36938202","7260","6996","2088"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7180416","143535623","26160763","746074","246779","341454336","3078199","618","605","194"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7179968","143535329","26160765","746075","246787","341407651","3078202","612","595","192"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7179712","143535721","26160754","746076","246779","341407073","3078202","618","615","194"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7180256","143535468","26160752","746073","246789","341407010","3078205","615","596","192"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7179872","143534539","26160667","746060","246764","341406446","3078193","618","600","193"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7176224","143475850","26160313","746040","246718","341407869","3078152","584","555","150"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7179904","143536109","26160791","746078","246782","341405765","3078202","618","610","194"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7180032","143534883","26160710","746066","246776","341406982","3078200","613","595","192"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7173600","143425010","26160258","746031","246714","341406075","3078147","584","520","97"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7176288","143476098","26160271","746031","246710","341407654","3078146","584","555","150"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7175520","143461563","26160284","746036","246717","341406314","3078152","584","555","148"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7180224","143535252","26160755","746074","246788","341406651","3078202","612","595","192"
"FAPP-cpupa","Process","0","1","-","all","0","12","2035312864","36668194228","328772926","10225265","3292188","15662576107","386264","48347399","121718","78271"
"FAPP-cpupa","Thread","0","1","0","all","0","1","470849952","5517670299","27688978","864548","292231","11867321611","111830","4612964","38258","23396"
"FAPP-cpupa","Thread","0","1","1","all","0","1","145133504","2882001606","27373485","850942","272642","345027179","26655","3977953","7978","5209"
"FAPP-cpupa","Thread","0","1","2","all","0","1","139178624","2757408902","27366927","850914","272528","345050326","22705","3973065","7172","4697"
"FAPP-cpupa","Thread","0","1","3","all","0","1","139178016","2783525174","27368321","850974","272670","345008452","23002","3973881","7261","4799"
"FAPP-cpupa","Thread","0","1","4","all","0","1","145200224","2903905464","27378850","851139","273364","345028423","28290","3979962","8266","5454"
