"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:20 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","2","5","all","0","1","151981184","3039515366","1395761","0","0","1757134","0","0","936617","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","161952192","3238920093","1394077","0","0","1755214","0","0","930408","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","144419776","2885930753","1395164","0","0","1754506","0","0","925688","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","151977120","3002618446","1395314","0","0","1753199","0","0","928798","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","151976064","3035208682","1394903","0","0","1753071","0","0","928554","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","151975200","3029746683","1394319","0","0","1752188","0","0","932247","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","151974400","3038226595","1393310","0","0","1754477","0","0","936353","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","144958688","2898482493","16719098","0","0","20926976","0","0","11104802","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","12081696","241567731","1527916","0","0","1812280","0","0","923666","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","12081632","241567459","1380097","0","0","1735606","0","0","935467","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","12081664","241568037","1381497","0","0","1742823","0","0","927089","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","12081696","241567012","1381485","0","0","1740996","0","0","930164","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","12081440","241567234","1382339","0","0","1737773","0","0","937210","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","12077920","241510070","1381722","0","0","1739659","0","0","927020","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","12081504","241567947","1380180","0","0","1737706","0","0","920793","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","12077760","241507170","1381359","0","0","1736963","0","0","916058","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","12081504","241567789","1381534","0","0","1735841","0","0","919158","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","12078144","241514134","1381236","0","0","1735614","0","0","918879","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","12078272","241517860","1380308","0","0","1734675","0","0","922592","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","12075456","241460050","1379425","0","0","1737040","0","0","926706","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2170921248","39476372252","17686729","0","0","21594364","0","0","11951195","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","464846240","5502651237","2328178","0","0","2272015","0","0","1659670","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","153886368","3067947856","1394718","0","0","1754294","0","0","944558","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","164081056","3281512805","1397274","0","0","1763383","0","0","942840","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","153930752","3078567194","1395485","0","0","1758234","0","0","938706","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","154283040","3054110789","1394907","0","0","1755196","0","0","947535","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","164123936","3279966302","1395673","0","0","1755605","0","0","942391","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","153887072","3073222520","1398308","0","0","1759898","0","0","932508","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","146332704","2911435032","1397454","0","0","1754713","0","0","932242","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","153885248","3077541279","1399058","0","0","1758871","0","0","926305","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","153886432","3040621822","1394595","0","0","1751420","0","0","928126","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","153890336","3057141476","1396743","0","0","1754104","0","0","927833","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","153888064","3051653940","1394336","0","0","1756631","0","0","928481","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","144742912","2894149723","16733333","0","0","20940497","0","0","11111716","0"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","12063264","241197175","1528307","0","0","1810777","0","0","925445","0"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","12063296","241196525","1380879","0","0","1736664","0","0","934898","0"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","12059680","241147100","1383331","0","0","1745968","0","0","933262","0"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","12063296","241196596","1381587","0","0","1740667","0","0","929179","0"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","12063104","241197102","1380793","0","0","1737573","0","0","937852","0"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","12059840","241148706","1381583","0","0","1737959","0","0","932899","0"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","12061536","241180029","1384560","0","0","1742430","0","0","922749","0"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","12063104","241196636","1383545","0","0","1737252","0","0","922727","0"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","12060096","241153948","1385123","0","0","1741592","0","0","916872","0"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","12059520","241141907","1380635","0","0","1734012","0","0","918619","0"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","12063200","241196813","1382718","0","0","1736712","0","0","918316","0"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","12062976","241197186","1380272","0","0","1738891","0","0","918898","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2120860192","38456603119","18992501","0","0","22805116","0","0","10655067","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","462724256","5358873926","2391425","0","0","2446556","0","0","1555555","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","150038208","2998299651","1512947","0","0","1840653","0","0","856144","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","150031552","2990744814","1510216","0","0","1858105","0","0","858013","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","150034784","2991005605","1513110","0","0","1851512","0","0","844225","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","150031488","3000518979","1510915","0","0","1846024","0","0","851336","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","150431840","2993356209","1511289","0","0","1848652","0","0","861201","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","157517376","3150225101","1507898","0","0","1851275","0","0","809692","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","157473408","3146973111","1508779","0","0","1850126","0","0","808132","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","142442976","2847697846","1507794","0","0","1851649","0","0","810548","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","150031040","2996372466","1506037","0","0","1858248","0","0","806825","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","150032128","2996307055","1505334","0","0","1852158","0","0","807752","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","150071136","2986228356","1506757","0","0","1850158","0","0","785644","0"
