"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:27 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.728114","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.124308","-","-","1"
"FAPP-time-stat","0","3","all","0","4.698456","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.120164","-","-","1"
"FAPP-time-stat","0","1","all","0","4.652417","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.120613","-","-","1"
"FAPP-time-stat","0","2","all","0","4.642843","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.120858","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Thread","0","3","1","all","0","1","152211008","3044110938","0","24821784","8273920","949515536","668351584","59344721","41771975","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","144644416","2860365560","0","24821760","8273920","952387824","665783264","59524238","41611456","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","162131328","3201068779","0","24821760","8273920","952222624","665720224","59513913","41607514","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","152205696","3008058299","0","24821788","8273920","951494368","666380720","59468398","41648793","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","152208032","3022575116","0","24821760","8273920","952664240","665251600","59541514","41578226","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","152203968","3024356998","0","24821760","8273920","952045152","665819360","59502818","41613707","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","152205632","3027974331","0","24821776","8273920","951955008","665953312","59497188","41622081","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","152202112","3043995581","0","24821760","8273920","952101504","665699008","59506343","41606189","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","162082528","3203794526","0","24821772","8273920","951538832","666367440","59471176","41647964","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","152606720","3021521813","0","24821776","8273920","951666432","666200336","59479152","41637521","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","152247584","3017979154","0","24821760","8273920","952225280","665651152","59514080","41603198","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","144260736","2884509261","0","294922824","98304000","11291646784","7918513184","705727929","494907073","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","12023072","240392290","0","24586728","8192000","937221456","666367104","58576341","41647945","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","12019232","240336470","0","24576024","8192000","939047696","661553504","58690482","41347094","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","12022848","240395580","0","24576000","8192000","941777200","658827664","58861075","41176730","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","12019008","240330657","0","24576000","8192000","941687536","658910912","58855471","41181932","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","12023072","240395700","0","24576028","8192000","941048512","659550544","58815534","41221908","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","12019424","240339976","0","24576000","8192000","942185648","658416624","58886604","41151037","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","12023104","240395652","0","24576000","8192000","941573072","659022160","58848317","41188884","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","12019648","240342709","0","24576016","8192000","941491456","659112688","58843215","41194544","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","12023136","240396213","0","24576000","8192000","941652064","658938192","58853255","41183635","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","12022816","240394282","0","24576012","8192000","941022688","659569760","58813918","41223111","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","12022720","240395622","0","24576016","8192000","941200704","659393776","58825045","41212112","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","12022656","240394110","0","24576000","8192000","941738752","658850256","58858672","41178141","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2128177632","37910314117","432","297861973","99287496","41505538358","37995686925","2594096693","2374730970","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","465247904","4679671961","432","24822613","8274376","31092853030","30610674525","1943303867","1913167692","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","150098368","2999874747","0","24821760","8273920","946804912","671165440","59175307","41947840","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","150480224","3006793756","0","24821760","8273920","947144768","671180544","59196548","41948783","0"
