"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:29:06 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-cpupa","Thread","0","2","3","all","0","1","143381472","2865231390","259953322","41312","0","259873682","1909","1361683","0","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","143382464","2867543096","259951593","41141","0","259872085","1755","1361330","0","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","143381408","2861465870","259957173","41783","0","259876696","1959","1362243","0","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","150392288","3007675584","259967818","42985","0","259884556","1935","1364370","0","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","150332128","3002868895","259972283","43455","0","259888582","1941","1364755","0","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","143382496","2865568982","259953798","41191","0","259874376","1829","1361603","0","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","143699328","2862380554","259952793","41167","0","259873317","1885","1361797","0","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","143380480","2857924523","259952720","40936","0","259873713","1855","1361492","0","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","150436544","2993544128","259965011","42686","0","259882534","1846","1363680","0","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","150247808","3004245241","3085766891","63335","0","3085658489","10810","15694402","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","12521952","250371260","257181994","6366","0","257172528","1220","1311389","0","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","12521952","250372229","257145247","5507","0","257135591","855","1307819","0","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","12521888","250372193","257144510","5299","0","257135234","868","1307633","0","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","12521952","250372791","257144147","5267","0","257135079","900","1307541","0","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","12518112","250315245","257143700","5079","0","257134816","848","1307445","0","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","12521632","250372606","257145626","5576","0","257135986","925","1307831","0","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","12518464","250322011","257144340","5131","0","257135280","885","1307654","0","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","12517984","250310984","257143721","5100","0","257134961","845","1307500","0","0"
