"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:45 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","3","2","all","0","1","139791488","2775334400","1085764","1085400","1625531","1625490","1144","35","1477","100219"
"FAPP-cpupa","Thread","0","3","3","all","0","1","155306048","3091064404","1084604","1084136","1627163","1627116","1259","32","1566","98167"
"FAPP-cpupa","Thread","0","3","4","all","0","1","147619456","2936013040","1086254","1085783","1630530","1630479","1241","32","1545","97020"
"FAPP-cpupa","Thread","0","3","5","all","0","1","148058176","2957396047","1085963","1085557","1618311","1618263","1306","43","1555","98146"
"FAPP-cpupa","Thread","0","3","6","all","0","1","139741728","2794724524","1085695","1085315","1627581","1627535","1108","29","1432","95265"
"FAPP-cpupa","Thread","0","3","7","all","0","1","140013824","2790712126","1083765","1083394","1599508","1599457","1252","69","1566","97197"
"FAPP-cpupa","Thread","0","3","8","all","0","1","139784864","2795654365","1083404","1082938","1602984","1602933","1135","34","1312","97290"
"FAPP-cpupa","Thread","0","3","9","all","0","1","139741056","2773004032","1087329","1086971","1610355","1610313","1146","28","1423","93028"
"FAPP-cpupa","Thread","0","3","10","all","0","1","147759904","2948918528","1084021","1083640","1612520","1612474","1343","68","1714","95411"
"FAPP-cpupa","Thread","0","3","11","all","0","1","139779136","2784631716","1080697","1080311","1595266","1595214","1269","42","1673","98280"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","137032096","2739910556","12866441","12862309","19167895","19167740","2323","2","3313","1169485"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","11420768","228346166","1051302","1051033","1574192","1574163","294","2","369","112922"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","11417152","228295465","1075751","1075435","1608040","1608028","185","0","278","98259"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","11420416","228346696","1074885","1074571","1609064","1609059","189","0","267","99045"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","11420736","228346054","1073820","1073403","1610739","1610731","185","0","268","96950"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","11420800","228346574","1075473","1075053","1614006","1613990","187","0","273","95815"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","11420544","228345990","1075244","1074889","1601714","1601703","187","0","267","96853"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","11416032","228273259","1074859","1074529","1611340","1611332","178","0","262","94191"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","11420768","228344668","1072893","1072573","1582958","1582939","186","0","267","96000"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","11420416","228346894","1072645","1072227","1586718","1586705","186","0","250","96144"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","11420768","228346101","1076437","1076130","1593935","1593930","187","0","263","91902"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","11416960","228287361","1073235","1072904","1596131","1596120","178","0","276","94267"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","11416736","228285328","1069897","1069562","1579058","1579040","181","0","273","97137"
"FAPP-cpupa","Process","0","1","-","all","0","12","2065044800","35885012868","12700387","12684918","19433340","19432763","1766614","16832","1077222","1365066"
"FAPP-cpupa","Thread","0","1","0","all","0","1","464640192","4150966569","1691270","1680721","2323514","2323456","1752902","16451","1060203","165368"
"FAPP-cpupa","Thread","0","1","1","all","0","1","149844384","2963728867","1003838","1003436","1555896","1555853","1417","33","1541","117195"
"FAPP-cpupa","Thread","0","1","2","all","0","1","141623520","2832365077","1000178","999665","1554386","1554342","1219","39","1517","111835"
"FAPP-cpupa","Thread","0","1","3","all","0","1","141620352","2797143660","1004228","1003703","1555320","1555269","1313","31","1733","110830"
"FAPP-cpupa","Thread","0","1","4","all","0","1","141894272","2810169953","1002117","1001608","1565903","1565863","1224","31","1538","110977"
"FAPP-cpupa","Thread","0","1","5","all","0","1","141673760","2792870024","1000643","1000099","1562779","1562733","1223","40","1498","113526"
"FAPP-cpupa","Thread","0","1","6","all","0","1","159661792","3193191587","1000304","999889","1555121","1555069","1187","30","1271","103763"
"FAPP-cpupa","Thread","0","1","7","all","0","1","141621760","2810095845","1001664","1001230","1557681","1557630","1241","30","1670","112836"
"FAPP-cpupa","Thread","0","1","8","all","0","1","149665344","2951383105","1001524","1001105","1554666","1554623","1189","41","1480","102591"
"FAPP-cpupa","Thread","0","1","9","all","0","1","141621952","2813607538","998295","997907","1547543","1547492","1216","37","1557","107180"
"FAPP-cpupa","Thread","0","1","10","all","0","1","141667968","2803576303","997048","996685","1549518","1549458","1256","34","1663","105963"
"FAPP-cpupa","Thread","0","1","11","all","0","1","149509504","2965914340","999278","998870","1551013","1550975","1227","35","1551","103002"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","141103744","2821367685","11857320","11852675","18494798","18494657","2365","2","3322","1314428"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","11760064","235135998","957966","957690","1557854","1557837","295","2","369","128377"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","11760032","235136814","993816","993465","1540201","1540195","189","0","275","115836"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","11756160","235077581","990045","989580","1538660","1538653","193","0","271","110678"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","11753920","235031472","994274","993798","1539460","1539444","185","0","268","109575"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","11760096","235135575","992079","991621","1550094","1550089","186","0","270","109674"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","11760224","235137698","990590","990095","1546979","1546968","194","0","259","112261"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","11759776","235136464","990335","989973","1539035","1539020","186","0","248","102566"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","11756416","235080107","991787","991403","1541880","1541865","181","0","277","111512"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","11760064","235136550","991592","991222","1539043","1539034","190","0","268","101326"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","11760096","235136625","988362","988024","1531821","1531804","189","0","275","105975"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","11756704","235086195","987157","986844","1533996","1533976","188","0","269","104797"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","11760192","235136606","989317","988960","1535775","1535772","189","0","273","101851"
"FAPP-cpupa","Process","0","2","-","all","0","12","2055631968","37346891994","12705226","12688616","19413392","19412836","2157491","17550","1081068","1357522"
"FAPP-cpupa","Thread","0","2","0","all","0","1","462533920","5558575648","1692684","1681006","2298838","2298776","2143749","17119","1064076","163766"
"FAPP-cpupa","Thread","0","2","1","all","0","1","141752288","2834938180","1002649","1002256","1557452","1557411","1188","32","1480","117486"
"FAPP-cpupa","Thread","0","2","2","all","0","1","141979360","2839407193","1001503","1000985","1561391","1561350","1258","35","1632","110385"
"FAPP-cpupa","Thread","0","2","3","all","0","1","141707168","2824447893","1002769","1002248","1556595","1556553","1275","43","1626","111426"
"FAPP-cpupa","Thread","0","2","4","all","0","1","147734624","2937556959","1005058","1004529","1563000","1562944","1222","52","1470","110461"
"FAPP-cpupa","Thread","0","2","5","all","0","1","157502240","3147637124","1003117","1002659","1560925","1560877","1295","36","1548","113921"
"FAPP-cpupa","Thread","0","2","6","all","0","1","141751712","2823341381","1000105","999697","1553264","1553218","1233","41","1565","103225"
"FAPP-cpupa","Thread","0","2","7","all","0","1","141705920","2827797348","1000702","1000279","1555524","1555472","1314","36","1669","114319"
"FAPP-cpupa","Thread","0","2","8","all","0","1","141705856","2834077157","1000848","1000428","1555669","1555628","1145","37","1294","102670"
"FAPP-cpupa","Thread","0","2","9","all","0","1","147563168","2930674478","998190","997805","1549299","1549258","1300","40","1485","107025"
"FAPP-cpupa","Thread","0","2","10","all","0","1","141758336","2830850266","996837","996369","1544514","1544468","1279","42","1690","103538"
"FAPP-cpupa","Thread","0","2","11","all","0","1","147937376","2957588367","1000764","1000355","1556921","1556881","1233","37","1533","99300"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","141160576","2822507095","11862098","11857412","18497827","18497704","2385","2","3318","1308335"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","11765024","235232579","958484","958182","1556277","1556250","299","2","361","128962"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","11760864","235170891","992756","992410","1541737","1541730","187","0","268","116158"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","11761184","235177827","991499","991029","1545681","1545678","185","0","272","109158"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","11762272","235192256","992780","992309","1541012","1541005","186","0","275","110147"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","11764992","235233813","995053","994574","1547449","1547427","188","0","263","109110"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","11764992","235233045","993226","992816","1545142","1545131","188","0","273","112514"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","11765088","235234210","990238","989881","1537629","1537620","188","0","272","101965"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","11760320","235158640","990801","990431","1539617","1539603","191","0","273","112888"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","11765024","235234393","991014","990647","1539793","1539788","191","0","243","101440"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","11765024","235233563","988325","987991","1533678","1533674","203","0","275","105702"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","11761024","235172034","987112","986694","1528863","1528853","188","0","275","102287"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","11764768","235233844","990810","990448","1540949","1540945","191","0","268","98004"
