"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:30 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-cpupa","Thread","0","1","2","all","0","1","150426240","3003007985","8143155","4671013","54840794","64253","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","142601184","2830290690","8047225","4695511","54864429","56850","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","142823360","2854698538","8145189","4672650","54846022","57434","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","142551584","2850928811","8144273","4678371","54825080","57260","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","160215200","3193371369","8122630","4673398","54853406","63686","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","150863520","3000843111","8202244","4661507","54817559","59904","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","142551040","2839929848","8199656","4670423","54807045","56627","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","142551392","2840182699","8075165","4668357","54880544","57158","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","142550656","2834421322","8092880","4661238","54876484","56767","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","150562432","3008036468","8211035","4669222","54805756","60347","221327360","0","20","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","141173664","2822775774","96738082","58199669","648569959","54928","2629632000","0","0","0"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","11766208","235252671","8444671","7345420","51283733","5691","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","11763872","235224606","7972608","4624618","54320181","4573","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","11766176","235256489","8030990","4619381","54294068","4301","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","11766176","235257017","7942688","4646756","54319730","4628","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","11762912","235210966","8039562","4623514","54300921","4284","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","11762592","235205685","8039472","4629626","54280447","4933","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","11766176","235257684","8015857","4624275","54308449","4650","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","11762368","235198397","8094542","4612622","54272906","4303","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","11766176","235256426","8094809","4621211","54262391","4215","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","11766272","235256552","7970544","4619605","54335280","4581","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","11761952","235192609","7988368","4612280","54331175","4346","219136000","0","0","0"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","11762784","235206672","8103971","4620361","54260678","4423","219136000","0","0","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2065413280","37207690890","462808066","226442133","3128765379","39840608","2655984044","0","120935076","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","476248320","5572569382","372604367","173782877","2527248812","39201726","221383084","0","120934856","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","140657856","2803401262","8271297","4764689","54668255","57037","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","140658016","2808851737","8187156","4792740","54685966","57138","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","140658176","2781634880","8160372","4821611","54664079","56786","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","140657472","2813106487","8250325","4780436","54663711","55790","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","148650784","2957879401","8198152","4796145","54674911","60211","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","140708128","2777245381","8202310","4778655","54692035","55922","221327360","0","20","0"
