"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:19 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","3","5","all","0","1","135495904","2708649453","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","135495552","2705475534","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","135715424","2711649136","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","135444640","2699092175","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","143698432","2871454588","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","135445440","2704410235","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","135444448","2698945959","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","97871488","1956681235","0","0","0","589830424","3915","1212","589833523","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","8156960","163070189","0","0","0","49158413","340","101","49158124","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","8153248","163018500","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","8156928","163071351","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","8156704","163070721","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","8156928","163071147","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","8156992","163070726","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","8157024","163071343","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","8152928","163010875","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","8156896","163071788","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","8156928","163070861","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","8156928","163070965","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","8153024","163012769","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2015111072","34929980864","0","0","1281","617581780","22723188","34363","709302005","3939"
"FAPP-cpupa","Thread","0","1","0","all","0","1","462229344","3915385144","0","0","1083","71502774","22718656","33230","163218995","3939"
"FAPP-cpupa","Thread","0","1","1","all","0","1","155109056","3102146985","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","137324704","2744105275","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","137325984","2742233009","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","145366656","2906187832","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","137595840","2742179924","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","137323360","2743314170","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","145478304","2904171716","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","137374752","2747390096","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","145337056","2906705796","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","137323264","2731350568","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","137322752","2744810349","0","0","18","49643546","412","103","49643910","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","97822272","1955735946","0","0","0","589830424","3915","1212","589833523","0"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","8153184","162995382","0","0","0","49158413","340","101","49158124","0"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","8153056","162996263","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","8153184","162996204","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","8149056","162935354","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","8152832","162996834","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","8149600","162945174","0","0","0","49152001","325","101","49152309","0"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","8149312","162938573","0","0","0","49152001","325","101","49152309","0"
