"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:58 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.678543","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079711","-","-","1"
"FAPP-time-stat","0","2","all","0","4.649247","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081391","-","-","1"
"FAPP-time-stat","0","3","all","0","4.629682","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.081492","-","-","1"
"FAPP-time-stat","0","1","all","0","4.608417","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081419","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x01a6","0x01e0","0x03e0","0x03e8","0x01a0","0x01a1","0x01a2","0x01a3"
"FAPP-cpupa","Thread","0","2","0","all","0","1","464928992","4485256484","34904","561448833","90827787","17902275","1982892094","2225389866","1828522785","1602246205"
"FAPP-cpupa","Thread","0","2","1","all","0","1","148715488","2937398571","104","324443988","60360922","12386129","64848688","65579193","44501956","59301064"
"FAPP-cpupa","Thread","0","2","2","all","0","1","149011936","2954099380","104","326279119","60701768","12445425","64890762","65549255","44519704","59297640"
"FAPP-cpupa","Thread","0","2","3","all","0","1","142921568","2855969688","104","315547415","58768871","12097483","64855612","65514271","44617675","59240386"
"FAPP-cpupa","Thread","0","2","4","all","0","1","142878272","2856415940","104","315588213","58777643","12099119","64836642","65538646","44644537","59322702"
"FAPP-cpupa","Thread","0","2","5","all","0","1","142920704","2826947246","104","312358924","58202251","11994710","64837027","65599057","44613527","59293482"
"FAPP-cpupa","Thread","0","2","6","all","0","1","156680096","3123849312","103","344832140","64021064","13047138","64772199","65572501","44555665","59271541"
"FAPP-cpupa","Thread","0","2","7","all","0","1","148864320","2962155004","103","327143911","60852442","12473900","64809548","65500826","44587779","59293139"
"FAPP-cpupa","Thread","0","2","8","all","0","1","142919904","2858362204","104","315786853","58816198","12106081","64798746","65513604","44623045","59329271"
"FAPP-cpupa","Thread","0","2","9","all","0","1","148934848","2978589170","104","328926454","61178960","12532163","64759181","65646000","44622285","59270845"
"FAPP-cpupa","Thread","0","2","10","all","0","1","143142944","2862756826","104","316256720","58902345","12121608","64758577","65627468","44633233","59269438"
"FAPP-cpupa","Thread","0","2","11","all","0","1","142920704","2837769837","103","313525492","58413314","12033005","64848002","65485192","44611661","59336089"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","97730592","1953892198","1212","251129212","71424761","29414949","769277052","777995291","529542234","704455916"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","8146496","162846175","101","20910738","5952536","2451323","63894079","64449550","44624727","59170365"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","8145568","162844798","101","20938478","5952517","2451320","64155991","64891813","43995319","58672069"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","8145376","162845509","101","20945457","5952522","2451322","64183613","64846417","43988633","58649540"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","8141824","162788579","101","20942052","5951281","2451117","64162641","64826278","44109423","58611328"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","8145312","162845911","101","20940422","5952538","2451325","64144613","64851195","44137486","58694206"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","8145440","162845122","101","20934120","5952531","2451324","64144568","64911023","44106805","58665510"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","8141536","162782147","101","20926263","5951126","2451088","64075792","64881345","44042202","58638853"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","8145344","162845407","101","20930910","5952524","2451321","64116405","64814304","44077282","58661576"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","8145376","162845535","101","20926578","5952528","2451324","64109652","64829170","44119205","58702805"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","8145664","162844901","101","20915721","5952505","2451317","64067230","64957476","44113632","58641953"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","8141248","162777423","101","20908340","5951044","2451079","64068000","64940373","44126293","58641410"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","8141408","162780691","101","20910133","5951109","2451089","64154468","64796347","44101227","58706301"
"FAPP-cpupa","Process","0","3","-","all","0","12","2007176832","37856813861","36389","4313462368","775105408","157915095","5510795061","5743381244","3612875991","3725189177"
"FAPP-cpupa","Thread","0","3","0","all","0","1","462972640","7245916647","35248","930626784","144723697","27685686","4797825829","5022377738","3122547617","3073020118"
