"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:49:00 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","0","3","all","0","1","139913600","2798235087","28754220","5","0","3977331","12","0","28703485","5765"
"FAPP-cpupa","Thread","0","0","4","all","0","1","139864128","2759324629","28752219","5","0","3976130","12","0","28702448","5530"
"FAPP-cpupa","Thread","0","0","5","all","0","1","139861952","2764845696","28752660","5","0","3976191","12","0","28702480","5576"
"FAPP-cpupa","Thread","0","0","6","all","0","1","140134464","2782931938","28752879","5","0","3976558","12","0","28702651","5581"
"FAPP-cpupa","Thread","0","0","7","all","0","1","147998816","2929265814","28757918","5","0","3982533","12","0","28706209","6005"
"FAPP-cpupa","Thread","0","0","8","all","0","1","139863424","2775762695","28752675","5","0","3976209","12","0","28702498","5578"
"FAPP-cpupa","Thread","0","0","9","all","0","1","147917600","2922262588","28758483","5","0","3982384","12","0","28706916","5958"
"FAPP-cpupa","Thread","0","0","10","all","0","1","158083872","3161575600","28764018","5","0","3988405","12","0","28708981","6556"
"FAPP-cpupa","Thread","0","0","11","all","0","1","139862080","2770291020","28752666","5","0","3976203","12","0","28702481","5577"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95732992","1913907636","331892150","0","0","36975563","0","0","331740218","16776"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7978688","159505641","27657752","0","0","3081304","0","0","27645051","1398"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7978560","159506188","27657795","0","0","3081309","0","0","27645082","1398"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7975168","159455357","27657350","0","0","3081266","0","0","27644873","1398"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7978784","159507136","27657829","0","0","3081308","0","0","27645076","1398"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7978688","159506081","27657772","0","0","3081308","0","0","27645058","1398"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7978656","159506399","27657787","0","0","3081308","0","0","27645090","1398"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7978688","159505969","27657774","0","0","3081307","0","0","27645036","1398"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7974944","159451357","27657393","0","0","3081267","0","0","27644904","1398"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7978688","159505402","27657741","0","0","3081303","0","0","27645030","1398"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7978720","159506688","27657823","0","0","3081313","0","0","27645110","1398"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7974720","159445862","27657364","0","0","3081264","0","0","27644864","1398"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7978688","159505556","27657770","0","0","3081306","0","0","27645044","1398"
"FAPP-cpupa","Process","0","2","-","all","0","12","2033594560","36696813466","344452564","60","0","47995511","21","0","344385309","18398"
"FAPP-cpupa","Thread","0","2","0","all","0","1","471166816","5489381047","28756513","5","0","4571315","21","0","28747193","2853"
"FAPP-cpupa","Thread","0","2","1","all","0","1","139666784","2792075968","28698752","5","0","3946417","0","0","28693685","1362"
"FAPP-cpupa","Thread","0","2","2","all","0","1","145938848","2912746721","28700750","5","0","3948343","0","0","28695227","1494"
"FAPP-cpupa","Thread","0","2","3","all","0","1","139673504","2781998014","28699247","5","0","3946545","0","0","28694163","1360"
"FAPP-cpupa","Thread","0","2","4","all","0","1","153351232","3066922232","28702428","5","0","3955078","0","0","28696132","1667"
"FAPP-cpupa","Thread","0","2","5","all","0","1","139895168","2793559796","28698669","5","0","3946387","0","0","28693596","1363"
"FAPP-cpupa","Thread","0","2","6","all","0","1","139674400","2791537019","28699271","5","0","3946587","0","0","28694200","1362"
"FAPP-cpupa","Thread","0","2","7","all","0","1","139674560","2793454543","28699714","5","0","3947438","0","0","28694636","1362"
"FAPP-cpupa","Thread","0","2","8","all","0","1","139622784","2792345018","28699262","5","0","3946634","0","0","28694184","1362"
"FAPP-cpupa","Thread","0","2","9","all","0","1","145640224","2903014040","28699483","5","0","3947669","0","0","28693980","1491"
"FAPP-cpupa","Thread","0","2","10","all","0","1","139668064","2789771375","28699245","5","0","3946544","0","0","28694160","1360"
"FAPP-cpupa","Thread","0","2","11","all","0","1","139622176","2790007693","28699230","5","0","3946554","0","0","28694153","1362"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","97758272","1954449529","332155893","0","0","36941064","0","0","332142642","5868"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","8148160","162895369","27679737","0","0","3078446","0","0","27678621","489"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","8143520","162823286","27679522","0","0","3078391","0","0","27678437","489"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","8147968","162895013","27679733","0","0","3078442","0","0","27678621","489"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","8148032","162893761","27679723","0","0","3078439","0","0","27678608","489"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","8143968","162831209","27679521","0","0","3078383","0","0","27678445","489"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","8144352","162840297","27679563","0","0","3078400","0","0","27678483","489"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","8145600","162855311","27679604","0","0","3078407","0","0","27678513","489"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","8147808","162894668","27679732","0","0","3078440","0","0","27678609","489"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","8148256","162895396","27679742","0","0","3078441","0","0","27678614","489"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","8144192","162835644","27679560","0","0","3078401","0","0","27678478","489"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","8148256","162895295","27679747","0","0","3078444","0","0","27678613","489"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","8148160","162894280","27679709","0","0","3078430","0","0","27678600","489"
"FAPP-cpupa","Process","0","3","-","all","0","12","1999035520","37556747661","344483545","60","0","48017753","20","0","344377944","28845"
"FAPP-cpupa","Thread","0","3","0","all","0","1","467865408","7077345297","28768370","5","0","4569906","20","0","28748557","5982"
"FAPP-cpupa","Thread","0","3","1","all","0","1","135593312","2696740799","28700727","5","0","3948197","0","0","28693392","1623"
