"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:26 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","2","3","all","0","1","137281824","2708758126","323873588","40905","0","323795771","18797","1151527","0","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","137279552","2745495013","323879688","41438","0","323800626","19170","1152571","0","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","137284288","2745587039","323878431","41580","0","323799005","18820","1152363","0","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","137280832","2745521955","323874167","40993","0","323796061","18756","1151719","0","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","144889792","2896563213","323899370","43486","0","323816362","18794","1155881","0","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","137283360","2714230086","323876992","40883","0","323799122","18969","1151951","0","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","144933696","2872617601","323894035","43149","0","323811669","19202","1155087","0","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","144826976","2894157146","323890686","43179","0","323808189","18918","1154774","0","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","137280000","2730437283","323880740","40954","0","323802643","18920","1152543","0","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","109558688","2190495252","3845340330","71721","0","3845225125","209930","13216505","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","9131872","182567025","320494166","6511","0","320483825","15043","1105308","0","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","9131840","182569802","320442559","6222","0","320432211","17683","1101534","0","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","9129344","182535265","320440942","6098","0","320431230","17755","1101067","0","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","9131776","182569966","320440589","6053","0","320430993","17696","1100997","0","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","9131616","182569595","320440723","5950","0","320431087","17968","1101041","0","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","9127168","182498751","320441463","6100","0","320431459","17709","1101193","0","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","9128288","182519430","320439104","5719","0","320430084","17654","1100713","0","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","9126208","182476995","320440242","5776","0","320430974","17412","1100950","0","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","9131776","182570844","320439966","5826","0","320430674","17765","1100841","0","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","9128448","182522567","320441027","5999","0","320431387","17900","1101132","0","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","9131744","182570156","320440752","5913","0","320431284","17680","1101074","0","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","9128608","182524856","320438797","5554","0","320429917","17665","1100655","0","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2020156608","34622821496","8200666330","71668396","3","8118077835","5702694","568907933","0","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","457872448","3446626113","4637848378","71196363","3","4556159622","5678586","556205536","0","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","139250208","2784969764","323875161","41919","0","323795103","1876","1152115","0","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","139245920","2764216607","323938631","46099","0","323851772","3192","1161549","0","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","149386080","2987449199","323933213","45833","0","323845943","2857","1161325","0","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","139245888","2784827003","323877685","41543","0","323798385","1974","1152334","0","0"
