"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:33 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-cpupa","Thread","0","1","6","all","0","1","155438720","3102744323","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","138088992","2761635910","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","155483200","3098191909","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","145639136","2903122681","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","145640576","2907965729","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","145638368","2902480461","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","95719328","1913685449","204","0","0","0","589824000","6424","0","0"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","7977728","159489001","17","0","0","0","49152000","6413","0","0"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","7974432","159442606","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","7977696","159490759","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","7974272","159439148","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","7977728","159490716","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","7974144","159436050","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","7977728","159490730","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","7974624","159446154","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","7977728","159489682","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","7977824","159490032","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","7977728","159490520","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","7977696","159490051","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Process","0","0","-","all","0","12","2095528736","36809651403","2278","0","1840","492","596091728","9093019","0","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","457703552","4315209375","1904","0","1840","492","50013008","9092678","0","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","147711712","2954142898","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","147715968","2935277903","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","147712224","2929762296","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","147707520","2918696502","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","148020160","2960368912","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","147838368","2931410472","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","147706528","2917912532","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","140154400","2773163909","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","147710592","2923471459","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","157795776","3115109464","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","157751936","3135125681","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95621792","1911760288","204","0","0","0","589824000","6424","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7969856","159333512","17","0","0","0","49152000","6413","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7966560","159286167","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7969760","159333721","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7969792","159333741","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7964096","159236191","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7969696","159335009","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7966432","159282338","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7969856","159335593","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7969792","159334411","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7969824","159334890","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7969824","159334621","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7966304","159280094","17","0","0","0","49152000","1","0","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2040671776","38689094357","2295","0","1840","492","596090914","9092110","0","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","453054912","7047880906","1921","0","1840","492","50012194","9091769","0","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","143649056","2852362642","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","143643648","2846804224","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","143646432","2841485570","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","143646272","2872762163","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","143642496","2868622917","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","150942528","3016466103","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","136088224","2720624508","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","143953728","2878883697","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","150988192","3010092137","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","143642688","2857672519","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","143773600","2875436971","34","0","0","0","49643520","31","0","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","95663008","1912557636","204","0","0","0","589824000","6424","0","0"
