"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:12 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","3","4","all","0","1","138166720","2763226161","452578","1212","0","0","0","24","16170","1154047"
"FAPP-cpupa","Thread","0","3","5","all","0","1","138168096","2762214305","452578","1212","0","0","0","24","16170","1154590"
"FAPP-cpupa","Thread","0","3","6","all","0","1","146165312","2897239525","452578","1212","0","0","0","24","16170","1155188"
"FAPP-cpupa","Thread","0","3","7","all","0","1","138438400","2768666752","452578","1212","0","0","0","24","16170","1152985"
"FAPP-cpupa","Thread","0","3","8","all","0","1","157753600","3155035438","452578","1212","0","0","0","24","16170","1156933"
"FAPP-cpupa","Thread","0","3","9","all","0","1","138217280","2761888116","452578","1212","0","0","0","24","16170","1154590"
"FAPP-cpupa","Thread","0","3","10","all","0","1","138216896","2743714255","452578","1212","0","0","0","24","16170","1153013"
"FAPP-cpupa","Thread","0","3","11","all","0","1","138166208","2753590897","452578","1212","0","0","0","24","16170","1152606"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","97953792","1958346580","5376588","14400","0","0","0","96","192000","13215381"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","8164256","163214213","448049","1200","0","0","0","8","16000","1104639"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","8160512","163162946","448049","1200","0","0","0","8","16000","1101187"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","8164256","163217395","448049","1200","0","0","0","8","16000","1101019"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","8158208","163117857","448049","1200","0","0","0","8","16000","1101041"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","8164288","163218024","448049","1200","0","0","0","8","16000","1100837"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","8164096","163217483","448049","1200","0","0","0","8","16000","1101277"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","8164160","163216452","448049","1200","0","0","0","8","16000","1101001"
