"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:09 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-cpupa","Thread","0","3","1","all","0","1","137739680","2739139170","221327360","20","3222951","254119","817698","74505","323808486","156641909"
"FAPP-cpupa","Thread","0","3","2","all","0","1","146739552","2930547489","221327360","20","3219474","217041","814980","76204","323818742","156641909"
"FAPP-cpupa","Thread","0","3","3","all","0","1","146254016","2904444102","221327360","20","3217260","293376","816470","71945","323819192","156641909"
"FAPP-cpupa","Thread","0","3","4","all","0","1","137469792","2749361363","221327360","20","3218470","299614","812698","75932","323801117","156641909"
"FAPP-cpupa","Thread","0","3","5","all","0","1","137469088","2739693745","221327360","20","3215920","242232","815657","72744","323810183","156641909"
"FAPP-cpupa","Thread","0","3","6","all","0","1","137464608","2749255924","221327360","20","3214715","253638","813438","71957","323802619","156641909"
"FAPP-cpupa","Thread","0","3","7","all","0","1","137469344","2748235091","221327360","20","3216899","246625","813426","73855","323808241","156641909"
"FAPP-cpupa","Thread","0","3","8","all","0","1","137470336","2739194212","221327360","20","3215411","248339","812496","74619","323806584","156641909"
"FAPP-cpupa","Thread","0","3","9","all","0","1","146288800","2925557247","221327360","20","3214698","226276","817940","67382","323826153","156641909"
"FAPP-cpupa","Thread","0","3","10","all","0","1","157423264","3143628136","221327360","20","3210253","237418","814719","70759","323834893","156641909"
"FAPP-cpupa","Thread","0","3","11","all","0","1","146387168","2925344681","221327360","20","3219965","277152","817310","69949","323819184","156641909"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","97695040","1953141795","2629632000","0","38222176","3079584","9670928","864722","3844987522","1861091400"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","8142400","162779410","219136000","0","3195870","335046","794017","75209","320457634","155090950"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","8142336","162779280","219136000","0","3190156","249586","809400","73612","320413037","155090950"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","8142368","162779608","219136000","0","3186595","212402","806693","75168","320411714","155090950"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","8138656","162726460","219136000","0","3184775","288296","808422","71064","320411853","155090950"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","8142464","162778997","219136000","0","3185740","294851","804578","74972","320410809","155090950"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","8142496","162779515","219136000","0","3183239","237750","807422","71840","320413204","155090950"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","8142208","162780629","219136000","0","3182040","249517","805323","70995","320411483","155090950"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","8142496","162780344","219136000","0","3184098","242093","805264","72850","320411723","155090950"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","8142496","162780164","219136000","0","3182812","243566","804304","73685","320410958","155090950"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","8136224","162675755","219136000","0","3181918","221486","809715","66507","320412064","155090950"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","8138528","162721392","219136000","0","3177625","233008","806611","69869","320411519","155090950"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","8142368","162780241","219136000","0","3187308","271983","809179","68951","320411524","155090950"
"FAPP-cpupa","Process","0","1","-","all","0","12","2007213664","34638455345","2655984044","120935076","39792119","4566328","9887772","920552","8923676193","1881893564"
"FAPP-cpupa","Thread","0","1","0","all","0","1","464158912","3871072191","221383084","120934856","4390512","1733627","902352","119309","5361747567","158832565"
"FAPP-cpupa","Thread","0","1","1","all","0","1","144192800","2866163770","221327360","20","3224280","232082","817841","76349","323817038","156641909"
"FAPP-cpupa","Thread","0","1","2","all","0","1","152865248","3057269857","221327360","20","3219685","212673","815842","75522","323821015","156641909"
"FAPP-cpupa","Thread","0","1","3","all","0","1","135657056","2713044459","221327360","20","3219019","233166","816357","73825","323805437","156641909"
"FAPP-cpupa","Thread","0","1","4","all","0","1","135415200","2691894347","221327360","20","3221042","274308","814335","76889","323801782","156641909"
"FAPP-cpupa","Thread","0","1","5","all","0","1","135414144","2696096923","221327360","20","3217614","271789","818605","71607","323810435","156641909"
"FAPP-cpupa","Thread","0","1","6","all","0","1","144358368","2876201528","221327360","20","3216474","259796","816476","70676","323815628","156641909"
"FAPP-cpupa","Thread","0","1","7","all","0","1","144490080","2878873241","221327360","20","3218346","266361","816548","73398","323817104","156641909"
"FAPP-cpupa","Thread","0","1","8","all","0","1","135407648","2704873617","221327360","20","3216413","252580","813266","75584","323805284","156641909"
"FAPP-cpupa","Thread","0","1","9","all","0","1","135414944","2708196621","221327360","20","3215539","258270","820061","67301","323802195","156641909"
"FAPP-cpupa","Thread","0","1","10","all","0","1","144424672","2882912612","221327360","20","3212256","293732","815747","71041","323821171","156641909"
"FAPP-cpupa","Thread","0","1","11","all","0","1","135414592","2691856179","221327360","20","3220939","277944","820342","69051","323811537","156641909"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","97650848","1952316104","2629632000","0","38239452","3078326","9688734","866771","3844990494","1861091400"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","8139424","162717725","219136000","0","3196742","296816","793145","75375","320457116","155090950"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","8136288","162678995","219136000","0","3191606","227638","809621","75495","320412920","155090950"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","8139264","162718596","219136000","0","3186743","208242","807622","74599","320412511","155090950"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","8135744","162667049","219136000","0","3186443","228741","808269","72902","320412214","155090950"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","8139392","162718944","219136000","0","3188368","269557","806131","75957","320411432","155090950"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","8136608","162678837","219136000","0","3185018","267216","810503","70705","320413024","155090950"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","8139456","162718503","219136000","0","3183867","255139","808323","69761","320411905","155090950"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","8139200","162718359","219136000","0","3185661","261560","808365","72431","320411955","155090950"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","8139264","162718786","219136000","0","3183825","248148","805162","74627","320411279","155090950"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","8135424","162661134","219136000","0","3183069","253264","811830","66574","320412176","155090950"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","8136000","162671445","219136000","0","3179702","288343","807555","70194","320412243","155090950"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","8134784","162647731","219136000","0","3188408","273662","812208","68151","320411719","155090950"
"FAPP-cpupa","Process","0","2","-","all","0","12","2030820256","34601674833","2655984044","120935076","39793950","4557415","9891349","913288","6793011226","1881893566"
"FAPP-cpupa","Thread","0","2","0","all","0","1","461515424","3452659274","221383084","120934856","4396820","1710048","903149","120404","3231027722","158832567"
"FAPP-cpupa","Thread","0","2","1","all","0","1","137377760","2747452251","221327360","20","3225298","229494","819152","75073","323807888","156641909"
"FAPP-cpupa","Thread","0","2","2","all","0","1","146182080","2923477278","221327360","20","3218719","281405","816549","74793","323853815","156641909"
"FAPP-cpupa","Thread","0","2","3","all","0","1","159412480","3149835243","221327360","20","3218938","227290","815931","73775","323828874","156641909"
"FAPP-cpupa","Thread","0","2","4","all","0","1","137378112","2723691658","221327360","20","3220387","265774","815189","74890","323809363","156641909"
"FAPP-cpupa","Thread","0","2","5","all","0","1","137378016","2712735405","221327360","20","3216685","248809","818371","71907","323809099","156641909"
"FAPP-cpupa","Thread","0","2","6","all","0","1","137652640","2729716875","221327360","20","3217326","246132","816241","71474","323809493","156641909"
"FAPP-cpupa","Thread","0","2","7","all","0","1","146310784","2907722473","221327360","20","3218104","277405","816849","71512","323820924","156641909"
"FAPP-cpupa","Thread","0","2","8","all","0","1","146631168","2903306637","221327360","20","3216148","290021","814454","74011","323817322","156641909"
"FAPP-cpupa","Thread","0","2","9","all","0","1","146239040","2895999566","221327360","20","3214750","267363","819515","67166","323818409","156641909"
"FAPP-cpupa","Thread","0","2","10","all","0","1","137371488","2707689709","221327360","20","3211455","245119","816898","70043","323807800","156641909"
"FAPP-cpupa","Thread","0","2","11","all","0","1","137371264","2747388464","221327360","20","3219320","268555","819051","68240","323800517","156641909"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","97872448","1956731289","2629632000","0","38233984","3078168","9691761","857434","3844987617","1861091400"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","8157568","163083401","219136000","0","3196276","284035","793429","74412","320457442","155090950"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","8153600","163025822","219136000","0","3192542","225117","810991","74166","320412870","155090950"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","8157536","163084268","219136000","0","3185595","276478","808343","73869","320411718","155090950"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","8157568","163083523","219136000","0","3186020","223051","807714","72791","320412028","155090950"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","8157344","163084104","219136000","0","3187789","260510","807069","73920","320411474","155090950"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","8154080","163032989","219136000","0","3184116","244059","810185","71072","320412889","155090950"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","8155072","163045658","219136000","0","3184710","241042","808111","70619","320411547","155090950"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","8153792","163027596","219136000","0","3185390","272045","808660","70609","320411441","155090950"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","8157568","163083161","219136000","0","3183682","285146","806399","73044","320411235","155090950"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","8157536","163083546","219136000","0","3182188","262410","811296","66315","320412235","155090950"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","8153024","163012479","219136000","0","3178958","240651","808729","69207","320411379","155090950"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","8157760","163084742","219136000","0","3186718","263624","810835","67410","320411359","155090950"
