"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:30 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.767175","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083814","-","-","1"
"FAPP-time-stat","0","3","all","0","4.741559","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.096459","-","-","1"
"FAPP-time-stat","0","2","all","0","4.722878","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.096615","-","-","1"
"FAPP-time-stat","0","1","all","0","4.701323","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.083876","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","12","2106789440","36704587758","9652583","31614178","21160982","38415536","13972629","373","250","1074512"
"FAPP-cpupa","Thread","0","0","0","all","0","1","476721184","4376184380","884332","5269852","2543162","4198058","1421278","373","250","139749"
"FAPP-cpupa","Thread","0","0","1","all","0","1","143576352","2847860964","798242","2396565","1696317","3115184","1140489","0","0","87562"
"FAPP-cpupa","Thread","0","0","2","all","0","1","143627040","2854317379","797786","2393877","1689253","3113131","1152589","0","0","86870"
"FAPP-cpupa","Thread","0","0","3","all","0","1","143626720","2872434550","793034","2391929","1686387","3110955","1155115","0","0","89708"
"FAPP-cpupa","Thread","0","0","4","all","0","1","143627200","2843365844","800793","2396068","1695055","3115079","1139121","0","0","85080"
"FAPP-cpupa","Thread","0","0","5","all","0","1","163778880","3275316774","797147","2395842","1693441","3110018","1138192","0","0","83822"
"FAPP-cpupa","Thread","0","0","6","all","0","1","153517696","3030459422","795106","2397115","1695833","3110477","1134670","0","0","85255"
"FAPP-cpupa","Thread","0","0","7","all","0","1","143576000","2847957630","797449","2394036","1691723","3109407","1140894","0","0","85089"
"FAPP-cpupa","Thread","0","0","8","all","0","1","143570208","2836849027","796951","2394734","1693037","3109115","1137070","0","0","82955"
"FAPP-cpupa","Thread","0","0","9","all","0","1","143841248","2842372450","799413","2396362","1694409","3109202","1135078","0","0","80824"
"FAPP-cpupa","Thread","0","0","10","all","0","1","153624352","3032489500","794575","2395082","1693514","3106048","1134916","0","0","84008"
"FAPP-cpupa","Thread","0","0","11","all","0","1","153702560","3044979838","797755","2392716","1688851","3108862","1143217","0","0","83590"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","100634944","2011993489","9455899","28482471","20137683","36969140","13555100","0","0","1028160"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","8388832","167693216","775345","2412844","1705736","3099292","1132456","0","0","104629"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","8387744","167694109","790403","2371608","1679356","3083726","1128962","0","0","86475"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","8387616","167693062","789679","2368988","1672305","3081390","1140804","0","0","85948"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","8383488","167623093","785112","2367126","1669477","3079273","1143372","0","0","88596"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","8383712","167627290","792829","2371031","1678125","3083576","1127482","0","0","84056"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","8380960","167569448","789137","2370435","1676559","3077991","1126189","0","0","82818"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","8387968","167694601","787155","2372115","1678943","3078952","1122991","0","0","84241"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","8387776","167693553","789340","2369127","1674813","3077820","1129233","0","0","84091"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","8387872","167695167","789107","2369798","1676201","3077651","1125472","0","0","81896"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","8387680","167693395","791430","2371413","1677534","3077621","1123354","0","0","79787"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","8387776","167694691","786522","2370216","1676622","3074544","1123276","0","0","83051"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","8383520","167621864","789840","2367770","1672012","3077304","1131509","0","0","82572"
"FAPP-cpupa","Process","0","3","-","all","0","12","2055443680","36884962174","8479799","30080450","17883983","36424360","15295518","373","250","648997"
"FAPP-cpupa","Thread","0","3","0","all","0","1","474159520","5545738956","801641","4453240","2301819","4153009","1533578","373","250","81187"
"FAPP-cpupa","Thread","0","3","1","all","0","1","147256672","2919434428","705868","2327970","1412659","2940577","1264481","0","0","52535"
