"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:59 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.744193","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083867","-","-","1"
"FAPP-time-stat","0","3","all","0","4.707679","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.091537","-","-","1"
"FAPP-time-stat","0","2","all","0","4.694074","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.083889","-","-","1"
"FAPP-time-stat","0","1","all","0","4.668565","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.083895","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x01a6","0x01e0","0x03e0","0x03e8","0x01a0","0x01a1","0x01a2","0x01a3"
"FAPP-cpupa","Thread","0","3","0","all","0","1","470771616","5921994372","35029","748258827","118765018","22875622","3350356473","3561893349","2407526964","2260272368"
"FAPP-cpupa","Thread","0","3","1","all","0","1","137057408","2731465783","103","299491446","56209160","11538463","46101165","34281719","2552668","5610642"
"FAPP-cpupa","Thread","0","3","2","all","0","1","156394784","3090883836","103","338795478","63249513","12812595","46026772","33989806","2524543","5525193"
"FAPP-cpupa","Thread","0","3","3","all","0","1","147020832","2938025602","103","322073598","60255525","12270576","45987080","34145563","2535392","5513475"
"FAPP-cpupa","Thread","0","3","4","all","0","1","137063040","2741229439","103","300547574","56400301","11573106","45950480","34187123","2509287","5500930"
"FAPP-cpupa","Thread","0","3","5","all","0","1","147321472","2945216769","103","322858167","60401263","12296047","45906535","34192727","2530097","5542936"
"FAPP-cpupa","Thread","0","3","6","all","0","1","137056480","2715115331","103","297695706","55889711","11480524","45964772","34237300","2504758","5556885"
"FAPP-cpupa","Thread","0","3","7","all","0","1","137063360","2726140871","103","298899411","56105306","11519592","45936871","34203694","2489993","5525679"
"FAPP-cpupa","Thread","0","3","8","all","0","1","137051296","2709564623","103","297080531","55781212","11460861","45938267","34156817","2501989","5534173"
"FAPP-cpupa","Thread","0","3","9","all","0","1","137284960","2725126429","103","298790932","56085998","11516004","46028788","34282020","2525867","5518979"
"FAPP-cpupa","Thread","0","3","10","all","0","1","137013920","2740111920","103","300426274","56377428","11569020","45940914","34226731","2541829","5533781"
"FAPP-cpupa","Thread","0","3","11","all","0","1","146879712","2933289928","103","321546453","60153101","12253672","45947564","34185674","2509755","5532681"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","109912288","2197472281","1212","248980024","75134873","28871178","547445895","406809078","29597300","65659039"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","9160384","183133127","101","20821380","6261428","2405939","47283094","34875981","2875366","5827068"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","9160416","183137112","101","20753562","6261561","2405988","45594860","33904939","2464218","5515909"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","9160096","183137482","101","20744335","6261564","2405990","45507142","33597723","2412500","5414113"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","9160288","183135911","101","20743002","6261525","2405981","45481909","33769181","2444453","5417371"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","9160352","183137393","101","20742439","6261567","2405989","45449679","33814738","2424448","5409335"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","9156288","183078546","101","20734683","6260275","2405773","45399112","33816084","2436826","5444998"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","9160320","183136549","101","20746417","6261549","2405986","45461755","33861957","2417226","5462901"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","9160416","183137612","101","20744219","6261566","2405988","45433582","33826353","2401554","5430420"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","9160352","183136312","101","20738229","6261548","2405986","45432246","33780493","2413952","5438901"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","9160384","183137058","101","20746598","6261566","2405988","45525476","33906093","2437939","5424848"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","9156416","183082108","101","20736973","6260361","2405786","45436261","33847709","2451491","5437530"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","9156576","183083071","101","20728187","6260363","2405784","45440779","33807827","2417327","5435645"
"FAPP-cpupa","Process","0","2","-","all","0","12","2080273472","36479775714","36213","4063056780","749210987","152180264","2296506588","2393818470","1732088324","1515242613"
"FAPP-cpupa","Thread","0","2","0","all","0","1","469411200","4378926672","35080","543354480","88828491","17461787","1788210646","2020157026","1704779451","1454652922"
