"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:23 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.637358","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083861","-","-","1"
"FAPP-time-stat","0","3","all","0","4.621736","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.097435","-","-","1"
"FAPP-time-stat","0","2","all","0","4.589019","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.096587","-","-","1"
"FAPP-time-stat","0","1","all","0","4.583659","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.096749","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0240","0x0241","0x0330","0x0274","0x01a4","0x01b4","0x01a5","0x01b5"
"FAPP-cpupa","Process","0","0","-","all","0","12","2073753600","38203928608","4340440261","4591158023","1386885696","482534512","735224325","10110113975","532031483","8512490132"
"FAPP-cpupa","Thread","0","0","0","all","0","1","463739680","6151675828","3746326028","4007379044","123695380","453871782","132872634","1647436839","127834569","2045333332"
"FAPP-cpupa","Thread","0","0","1","all","0","1","149282144","2983188134","53928589","52994500","115093642","2336363","54783860","768971120","36770151","588323536"
"FAPP-cpupa","Thread","0","0","2","all","0","1","143524160","2869332704","53963157","53007216","114718517","2680520","54701313","769060272","36766799","588269488"
"FAPP-cpupa","Thread","0","0","3","all","0","1","143251520","2844456808","54113189","53065084","114618481","2568837","54825130","769917200","36709174","587347360"
"FAPP-cpupa","Thread","0","0","4","all","0","1","143252384","2849920127","53815998","53026591","114620639","2526326","54681161","768733312","36784067","588545616"
"FAPP-cpupa","Thread","0","0","5","all","0","1","149395776","2983611770","53949255","52941352","115211938","2557100","54707311","769145312","36757129","588114576"
"FAPP-cpupa","Thread","0","0","6","all","0","1","143301888","2856353204","53805018","53134903","114690195","2572682","54754493","769870464","36710032","587360848"
"FAPP-cpupa","Thread","0","0","7","all","0","1","149253440","2953608224","54160729","53066313","115020868","2697057","54807367","769843776","36711005","587376368"
"FAPP-cpupa","Thread","0","0","8","all","0","1","158997984","3179852147","54029028","52979206","115386783","2659131","54717842","769324640","36744350","587910064"
"FAPP-cpupa","Thread","0","0","9","all","0","1","143250496","2838994141","54000238","52999311","114616789","2637288","54742312","769688080","36722297","587557360"
"FAPP-cpupa","Thread","0","0","10","all","0","1","143252480","2828075101","53992433","53218234","114601568","2565733","54803030","769631712","36726165","587619024"
"FAPP-cpupa","Thread","0","0","11","all","0","1","143251648","2864860420","54356599","53346269","114610896","2861693","54827872","768491248","36795745","588732560"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","100692480","2013127142","639522680","630281078","1286051218","30298297","650606774","9140125184","436610227","6985769968"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","8393024","167788275","53340389","53226210","107174594","2840453","54220229","761237232","36416842","582669776"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","8388736","167726144","53200310","52379650","107166231","2227212","54241441","761373376","36405019","582481376"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","8392960","167788991","53247877","52401340","107174796","2575422","54159046","761438256","36403148","582451072"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","8393088","167790247","53397290","52456224","107175017","2459925","54282655","762292144","36345719","581532064"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","8392896","167789036","53099960","52416852","107174809","2419780","54138688","761108320","36420446","582727680"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","8389120","167733628","53224455","52325987","107167025","2443560","54165795","761536176","36392663","582283072"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","8390400","167753374","53086390","52524706","107169241","2465727","54212026","762245520","36346560","581545280"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","8393024","167788739","53438041","52455264","107174715","2585129","54264968","762220176","36347499","581560272"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","8387968","167710731","53296899","52367893","107165543","2544629","54175423","761700288","36380888","582094672"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","8392960","167788819","53280794","52388732","107174732","2528945","54199043","762063328","36358956","581743888"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","8388960","167731307","53273714","52605525","107166833","2457600","54260861","762025408","36361532","581784896"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","8389344","167737851","53636561","52732695","107167682","2749915","54286599","760884960","36430955","582895920"
"FAPP-cpupa","Process","0","3","-","all","0","12","2010216256","36238145993","3625435214","3864687509","1298324631","533345209","749638115","10353569931","540778920","8657716262"
"FAPP-cpupa","Thread","0","3","0","all","0","1","462177280","5332362280","2985715919","3239750439","115926136","432190580","132861193","1646100027","127874676","2045993222"
"FAPP-cpupa","Thread","0","3","1","all","0","1","145157376","2892669753","57962573","56481569","107924996","8893356","56059844","791835824","37455931","599813536"
"FAPP-cpupa","Thread","0","3","2","all","0","1","136938272","2737216909","57982875","56471376","107271309","8978874","55910909","789427760","37498923","600431808"
"FAPP-cpupa","Thread","0","3","3","all","0","1","136937568","2727775547","58045491","56962699","107261206","9282220","56081569","792178720","37596890","602043472"
"FAPP-cpupa","Thread","0","3","4","all","0","1","144983584","2895066039","58321560","56929361","107863798","9130141","56200023","793011728","37560030","601464192"
"FAPP-cpupa","Thread","0","3","5","all","0","1","136988448","2734796635","58066944","56608011","107352103","9108388","55896322","789090784","37572762","601657808"
"FAPP-cpupa","Thread","0","3","6","all","0","1","136938240","2738732788","58007439","56877188","107293960","9061559","55989335","789438896","37541447","601119072"
"FAPP-cpupa","Thread","0","3","7","all","0","1","137209472","2728834479","58128160","56666015","107372835","9273311","55886883","788983168","37531738","600943072"
"FAPP-cpupa","Thread","0","3","8","all","0","1","136938048","2736136114","58582936","57282064","107283286","9433467","56524371","798330624","37669328","603269232"
"FAPP-cpupa","Thread","0","3","9","all","0","1","154191872","3080910992","58352155","56992703","108068279","9519578","56159579","793691200","37557909","601469088"
"FAPP-cpupa","Thread","0","3","10","all","0","1","136937664","2738655465","58073290","56781758","107279925","9222906","56013022","791115712","37539694","601082752"
"FAPP-cpupa","Thread","0","3","11","all","0","1","144818432","2894988992","58195872","56884326","107426798","9250829","56055065","790365488","37379592","598429008"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","116929792","2337882933","685437263","671175709","1213251275","102580728","664973479","9382669520","445199794","7128400256"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","9750176","194931622","54041499","53361314","101107198","3323866","54311871","761491408","36386217","582179952"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","9745792","194869542","57203276","55835059","101100464","8720163","55505611","784023520","37085233","593878992"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","9746496","194882709","57229105","55823696","101101424","8809241","55350957","781511344","37126403","594465152"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","9695648","193865627","57292911","56316501","101098473","9111590","55527577","784357504","37224681","596082832"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","9747936","194900228","57542326","56262070","101103041","8955463","55643013","785152864","37187978","595505456"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","9749792","194932802","57319522","55966738","101107572","8939989","55343466","781290608","37202207","595724832"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","9747328","194895145","57262207","56235377","101102509","8891626","55434940","781612400","37170091","595173792"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","9750176","194932961","57377693","56022874","101107686","9100399","55332059","781151232","37158533","594967680"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","9750080","194931800","57832446","56639634","101107304","9268114","55965739","790461376","37296884","597304336"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","9750144","194931118","57578792","56337998","101107148","9337641","55600561","785814528","37185729","595509808"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","9746304","194877825","57321308","56137446","101101136","9049230","55456483","783252864","37166748","595110464"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","9749920","194931554","57436178","56237002","101107320","9073406","55501202","782549872","37009090","592496960"
"FAPP-cpupa","Process","0","2","-","all","0","12","2017174624","38023682575","5238148436","5475905348","1313743854","539712348","748227433","10332599479","540398771","8650906070"
