"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:06 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-cpupa","Thread","0","1","2","all","0","1","136942144","2734629024","1686486","1415120","1955725","1697168","1190","37","1572","90498"
"FAPP-cpupa","Thread","0","1","3","all","0","1","136670560","2730978625","1687695","1416339","1958512","1699954","1232","31","1714","87126"
"FAPP-cpupa","Thread","0","1","4","all","0","1","136669216","2723671552","1695194","1423875","1977394","1718834","1216","34","1689","89019"
"FAPP-cpupa","Thread","0","1","5","all","0","1","144700192","2892870509","1690359","1418973","1962524","1703964","1299","34","1604","86407"
"FAPP-cpupa","Thread","0","1","6","all","0","1","144811200","2896072502","1693765","1422412","1972519","1713959","1247","29","1686","86443"
"FAPP-cpupa","Thread","0","1","7","all","0","1","144671200","2887890821","1695470","1424126","1973962","1715403","1278","39","1705","84681"
"FAPP-cpupa","Thread","0","1","8","all","0","1","136669472","2731600650","1696921","1425495","1976166","1717606","1192","40","1566","83448"
"FAPP-cpupa","Thread","0","1","9","all","0","1","136668800","2718277802","1695639","1424303","1973724","1715166","1160","35","1524","82881"
"FAPP-cpupa","Thread","0","1","10","all","0","1","152312864","3043023951","1695205","1423825","1970357","1711797","1238","31","1602","84746"
"FAPP-cpupa","Thread","0","1","11","all","0","1","136668800","2733343158","1693813","1422441","1977149","1718589","1103","34","1325","84042"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","100692832","2013189157","20148108","16932235","23424355","20354160","2393","3","3499","1040695"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","8393024","167789570","1706954","1446348","1970735","1716536","295","3","377","105394"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","8389376","167741268","1678787","1410134","1953015","1697015","193","0","291","86115"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","8392416","167792170","1669842","1401179","1936196","1680196","192","0","286","89396"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","8388608","167725553","1670815","1402163","1938779","1682780","189","0","288","86155"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","8389152","167736321","1678351","1409734","1957705","1701706","179","0","287","88035"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","8392704","167791758","1673605","1404919","1942992","1686992","203","0","285","85374"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","8388896","167729418","1676921","1408269","1952691","1696692","188","0","294","85538"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","8388320","167717304","1678560","1409918","1954104","1698105","192","0","288","83621"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","8392608","167791824","1680080","1411355","1956371","1700371","193","0","282","82422"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","8392576","167791585","1678839","1410206","1953942","1697942","190","0","279","81931"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","8392320","167789883","1678371","1409696","1950551","1694551","190","0","284","83675"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","8392832","167792503","1676983","1408314","1957274","1701274","189","0","258","83039"
"FAPP-cpupa","Process","0","2","-","all","0","12","2005858400","34362057403","17846043","14636909","21082817","17980293","1465714","18557","1085785","650282"
"FAPP-cpupa","Thread","0","2","0","all","0","1","461799744","3742467057","2299444","2025200","2634915","2376733","1452179","18185","1067729","84018"
"FAPP-cpupa","Thread","0","2","1","all","0","1","136781664","2714530137","1410210","1143432","1667032","1408447","1164","29","1570","51590"
"FAPP-cpupa","Thread","0","2","2","all","0","1","136509792","2714356368","1417058","1150275","1691671","1433098","1637","48","2434","53848"
"FAPP-cpupa","Thread","0","2","3","all","0","1","144577600","2891519566","1418797","1152013","1692441","1433869","1135","33","1349","51422"
"FAPP-cpupa","Thread","0","2","4","all","0","1","136507232","2730114737","1413145","1146371","1683117","1424553","1126","36","1357","50910"
"FAPP-cpupa","Thread","0","2","5","all","0","1","144519168","2863769694","1410760","1143884","1669705","1411130","1257","35","1731","51271"
"FAPP-cpupa","Thread","0","2","6","all","0","1","144673472","2857295454","1413175","1146400","1682732","1424144","1227","30","1595","49604"
"FAPP-cpupa","Thread","0","2","7","all","0","1","154407040","3056091005","1409218","1142440","1658103","1399527","1293","32","1711","53739"
"FAPP-cpupa","Thread","0","2","8","all","0","1","136558624","2711332467","1416183","1149317","1680417","1421841","1188","36","1542","51224"
"FAPP-cpupa","Thread","0","2","9","all","0","1","136508480","2692679382","1416050","1149270","1684585","1426014","1142","28","1598","50777"
"FAPP-cpupa","Thread","0","2","10","all","0","1","136507712","2699425809","1412046","1145139","1672639","1414064","1194","35","1584","50982"
"FAPP-cpupa","Thread","0","2","11","all","0","1","136507872","2688475727","1409957","1143168","1665460","1406873","1172","30","1585","50897"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","115852320","2316377865","16887773","13722029","20096242","17024434","2345","2","3516","610526"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","9656160","193057990","1496233","1236164","1834607","1578981","294","2","386","51694"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","9656032","193059131","1396093","1131971","1649957","1393932","186","0","280","50917"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","9652224","192998331","1402899","1138771","1674504","1418489","186","0","297","53213"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","9656096","193058344","1404705","1140576","1675651","1419639","192","0","267","50724"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","9655968","193057926","1399076","1134958","1666373","1410366","187","0","268","50264"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","9651840","192989572","1396695","1132473","1652804","1396790","188","0","300","50597"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","9655872","193058355","1399116","1135000","1665854","1409825","185","0","282","48898"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","9651680","192986710","1395183","1131061","1641359","1385344","188","0","293","53066"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","9655968","193058856","1401972","1137762","1663210","1407192","190","0","280","50515"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","9652032","192993964","1402028","1137905","1667798","1411789","178","0","292","50115"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","9656096","193057166","1397870","1133617","1655436","1399425","186","0","284","50256"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","9652352","193001520","1395903","1131771","1648689","1392662","185","0","287","50267"
"FAPP-cpupa","Process","0","3","-","all","0","12","2019057952","37549461350","17845689","14636758","21098530","17996201","2236581","18008","1082255","652180"
"FAPP-cpupa","Thread","0","3","0","all","0","1","459290336","6502174882","2299983","2025826","2621646","2363631","2216906","17664","1064325","83634"
"FAPP-cpupa","Thread","0","3","1","all","0","1","138645216","2741439015","1411574","1144803","1674427","1415847","1758","32","1591","51213"
"FAPP-cpupa","Thread","0","3","2","all","0","1","138666304","2763643213","1412046","1145259","1680494","1421927","1769","35","1566","52653"
"FAPP-cpupa","Thread","0","3","3","all","0","1","146838208","2899683980","1423123","1156345","1699644","1441070","2049","37","2106","51597"
"FAPP-cpupa","Thread","0","3","4","all","0","1","138667040","2747258159","1409514","1142740","1673017","1414438","1792","33","1681","51412"
"FAPP-cpupa","Thread","0","3","5","all","0","1","138665408","2758179164","1422301","1155471","1699807","1441233","1745","33","1579","51939"
"FAPP-cpupa","Thread","0","3","6","all","0","1","138888512","2773530429","1412142","1145366","1673336","1414758","1734","27","1576","49520"
"FAPP-cpupa","Thread","0","3","7","all","0","1","138665760","2752672743","1408051","1141267","1665990","1407424","1779","27","1690","55131"
"FAPP-cpupa","Thread","0","3","8","all","0","1","138666528","2773299305","1411103","1144228","1674201","1415626","1689","29","1324","50654"
"FAPP-cpupa","Thread","0","3","9","all","0","1","156732608","3132189326","1409094","1142308","1674529","1415960","1864","28","1711","51541"
"FAPP-cpupa","Thread","0","3","10","all","0","1","138665504","2772164963","1416466","1149641","1688662","1430088","1752","29","1561","51244"
"FAPP-cpupa","Thread","0","3","11","all","0","1","146666528","2933226171","1410292","1143504","1672777","1414199","1744","34","1545","51642"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","115825920","2315797095","16885608","13719958","20109947","17038320","2362","3","3493","611583"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","9653312","192999154","1495667","1235564","1821074","1565619","293","2","387","51169"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","9653344","193000388","1397274","1133160","1656917","1400896","191","1","278","50470"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","9653312","192999334","1397959","1133829","1663496","1407489","189","0","285","51907"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","9653216","192999132","1408921","1144800","1682132","1426117","185","0","281","50786"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","9649248","192939136","1395274","1131157","1656108","1400093","191","0","284","50717"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","9652800","192998038","1408183","1144010","1682917","1426900","188","0","283","51162"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","9653120","192999238","1397849","1133731","1655931","1399910","185","0","282","48739"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","9649088","192935042","1393819","1129692","1648719","1392711","188","0","287","54388"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","9653280","192999259","1397094","1132877","1657487","1401468","191","0","263","49983"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","9648960","192930035","1394976","1130847","1657394","1401378","185","0","294","50899"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","9653152","192998339","1402421","1138252","1671808","1415794","186","0","290","50498"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","9653088","193000000","1396171","1132039","1655964","1399945","190","0","279","50865"
