"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:52 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","3","2","all","0","1","137929440","2758369560","6800218","5235889","33376574","60629","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","149748192","2984099519","6859917","5214594","33360316","60986","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","137917440","2743021730","6851186","5210164","33356085","59683","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","137928672","2755454737","6879595","5191927","33377619","56483","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","137878272","2747876950","6819289","5219939","33383101","56225","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","149886688","2996581963","6862888","5242079","33316612","60615","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","137878656","2741259656","6910724","5160907","33364689","56120","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","150185824","3003550601","6861528","5186078","33370666","61267","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","137922816","2753095954","6875145","5224256","33324974","56247","221327360","0","20","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","161355968","3222872050","6936481","5263099","33275540","64825","221327360","0","20","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","115876672","2316815014","81162022","61495254","396691266","54508","2629632000","0","0","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","9658176","193088867","6621425","4743775","33533947","5338","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","9658176","193094170","6829996","5149732","32974863","4639","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","9653728","193027772","6701149","5178630","33043117","4413","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","9654464","193040497","6766530","5159889","33028093","4600","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","9654304","193037130","6754134","5154320","33022547","4311","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","9657920","193093842","6787377","5137084","33045798","4763","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","9658016","193092832","6726350","5165354","33051818","4519","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","9658144","193092640","6768113","5188483","32984415","4365","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","9653920","193030248","6818135","5106952","33032097","4158","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","9654016","193031609","6765610","5131866","33038608","4591","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","9657824","193093101","6782013","5170508","32992640","4433","219136000","0","0","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","9657984","193092306","6841190","5208661","32943323","4378","219136000","0","0","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2111129504","36906086016","464033002","234333671","1295883077","39352842","2655984044","0","120935076","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","470648096","4151037095","388421395","177080899","929005460","38682915","221383084","0","120934856","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","143854176","2875944811","6887456","5188127","33366279","59067","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","143805024","2875888847","6879739","5268238","33294491","63086","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","143848864","2866072307","6831469","5233001","33343906","58078","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","143848832","2871415271","6862040","5165984","33392355","58932","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","143805216","2876007166","6926159","5158669","33378833","58289","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","144075488","2878289793","6881837","5211118","33350108","58708","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","165781440","3311361546","6839084","5194758","33377340","66510","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","155842400","3107083315","6889800","5199989","33345457","63033","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","143849504","2861838441","6874982","5222706","33303917","57734","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","155956704","3116713854","6867152","5217551","33341024","63105","221327360","0","20","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","155813760","3114433570","6871889","5192631","33383907","63385","221327360","0","20","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","115875840","2316763412","81225026","61349643","396781601","54428","2629632000","0","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","9657728","193082010","6651047","4695089","33559346","4849","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","9657696","193084373","6793310","5133875","33034027","4611","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","9657760","193083774","6780673","5211319","32961205","4657","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","9657792","193085312","6738264","5178746","33012764","4494","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","9651712","192987759","6767646","5111267","33060171","4265","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","9654208","193037028","6834902","5104271","33047119","4668","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","9657728","193082899","6787880","5157467","33018001","4594","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","9657728","193084507","6743605","5140400","33045357","4426","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","9654176","193034989","6794573","5145505","33013309","4367","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","9657568","193084200","6782902","5169273","32970959","4255","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","9657696","193083881","6772512","5163767","33008715","4597","219136000","0","0","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","9654048","193032680","6777712","5138664","33050628","4645","219136000","0","0","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2090601920","37323202151","461608154","236027560","2356009515","42283980","2655984044","0","120935076","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","468852608","5133679777","385880927","178788293","1989175625","41627577","221383084","0","120934856","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","143740288","2854902816","6935223","5188180","33335661","58278","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","153770336","3054190095","6865387","5230268","33351188","65826","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","143789888","2875767031","6894079","5206028","33351811","57430","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","143784416","2875656603","6940225","5198549","33308100","56962","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","143790656","2838316584","6835167","5190007","33393167","58139","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","154067104","3055897819","6855041","5244927","33318280","62227","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","143783584","2849124788","6889119","5187992","33354531","57759","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","143790272","2845020527","6884860","5203808","33352199","57745","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","144011552","2843943615","6847102","5180828","33380906","58443","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","163481888","3253969199","6863095","5213032","33352039","65335","221327360","0","20","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","143739328","2842733297","6917929","5195648","33336008","58259","221327360","0","20","0"
