"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:16 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.637775","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.083784","-","-","1"
"FAPP-time-stat","0","1","all","0","4.615698","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.096652","-","-","1"
"FAPP-time-stat","0","2","all","0","4.593119","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.096386","-","-","1"
"FAPP-time-stat","0","3","all","0","4.569895","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.096431","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0190","0x0191","0x0184","0x0186","0x0189","0x018c","0x018d","0x018e"
"FAPP-cpupa","Thread","0","1","1","all","0","1","138023552","2760436516","2705885169","9125062","53931433","0","83918808","2567789337","0","2566389001"
"FAPP-cpupa","Thread","0","1","2","all","0","1","138031424","2756204394","2701573905","9156191","53462081","0","84135798","2563736818","0","2562502985"
"FAPP-cpupa","Thread","0","1","3","all","0","1","146009728","2919053296","2864501846","9114270","54190118","0","83751408","2726334298","0","2725203821"
"FAPP-cpupa","Thread","0","1","4","all","0","1","137980864","2757231018","2702597748","9199943","55196054","0","84019280","2563129135","0","2561663563"
"FAPP-cpupa","Thread","0","1","5","all","0","1","138251296","2749765400","2695218987","9127101","54170605","0","84223465","2556596192","0","2555427378"
"FAPP-cpupa","Thread","0","1","6","all","0","1","137980320","2755378459","2700852512","9140716","54025083","0","83694917","2562912069","0","2561792536"
"FAPP-cpupa","Thread","0","1","7","all","0","1","146213632","2914599779","2860012582","9152833","55122126","40","83778130","2720876183","0","2719627591"
"FAPP-cpupa","Thread","0","1","8","all","0","1","137980288","2757074486","2702482420","9146750","55736640","91","84038859","2562468159","0","2561223563"
"FAPP-cpupa","Thread","0","1","9","all","0","1","138030432","2750855207","2696366133","9067292","54809705","14","83581412","2557766069","0","2556723849"
"FAPP-cpupa","Thread","0","1","10","all","0","1","138030912","2760581764","2705946593","9194002","54998417","0","84390390","2566317122","0","2565044956"
"FAPP-cpupa","Thread","0","1","11","all","0","1","155384736","3107534324","3053039174","9010583","55054952","36","83717598","2914046435","0","2912969767"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","116044064","2320169749","1674372859","106381587","630930543","0","992047162","49801645","0","38839380"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","9672224","193361463","140061426","8388497","48934250","0","78567338","12502616","0","12161744"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","9670944","193364041","139508895","8908463","52268527","0","83036237","4047970","0","2887213"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","9671072","193362710","139449292","8928418","51730028","0","83248737","4327575","0","3362267"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","9671104","193363915","139518465","8889482","52472372","0","82867753","4047665","0","3171992"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","9671392","193362387","139428067","8981375","53502971","0","83131934","2630141","0","1412995"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","9667456","193301908","139456596","8907101","52515269","0","83330858","3473192","0","2546891"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","9671136","193364390","139536667","8922635","52369854","0","82807270","4228906","0","3356270"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","9671104","193362542","139482751","8927643","53371782","0","82887517","3082881","0","2090122"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","9667232","193297121","139408280","8925563","54050478","0","83152019","2059162","0","1064281"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","9671328","193362386","139570974","8849871","53131742","0","82694133","3626000","0","2829367"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","9671552","193364555","139425616","8976317","53341397","0","83500461","2432498","0","1410938"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","9667520","193302331","139525830","8776222","53241873","0","82822905","3343039","0","2545300"
"FAPP-cpupa","Process","0","2","-","all","0","12","2010493472","34802783873","32264014416","402116417","1466567246","468","1618046082","29065495733","0","28946702815"
"FAPP-cpupa","Thread","0","2","0","all","0","1","459315712","4046963634","2108075596","301905023","867132078","0","697079103","432430318","0","326603368"
"FAPP-cpupa","Thread","0","2","1","all","0","1","153123104","3043003389","2988363640","9240006","53927156","14","84142093","2850032551","0","2848574896"
"FAPP-cpupa","Thread","0","2","2","all","0","1","143980064","2854644277","2800070001","9113476","53349046","0","83971962","2662515605","0","2661337891"
