"FAPP-cpupa","Thread","0","2","1","all","0","1","144236800","2882350988","221327360","20","3113947","250797","799203","85233","171895710","129680161"
"FAPP-cpupa","Thread","0","2","2","all","0","1","150016288","3000227199","221327360","20","3111365","269953","793481","89702","171898554","129680161"
"FAPP-cpupa","Thread","0","2","3","all","0","1","150454560","3009058700","221327360","20","3110678","314784","795119","86434","171893865","129680161"
"FAPP-cpupa","Thread","0","2","4","all","0","1","144242240","2880618194","221327360","20","3112536","342510","796049","86526","171893277","129680161"
"FAPP-cpupa","Thread","0","2","5","all","0","1","144235968","2853205630","221327360","20","3108593","227918","794233","86193","171894272","129680161"
"FAPP-cpupa","Thread","0","2","6","all","0","1","150076992","2991867854","221327360","20","3109219","192337","794356","85448","171899113","129680161"
"FAPP-cpupa","Thread","0","2","7","all","0","1","150188000","3003663833","221327360","20","3111963","249789","798812","83709","171899504","129680161"
"FAPP-cpupa","Thread","0","2","8","all","0","1","144500768","2874901464","221327360","20","3105547","285030","793925","83285","171891734","129680161"
"FAPP-cpupa","Thread","0","2","9","all","0","1","144236192","2858659294","221327360","20","3107151","271777","797091","80874","171896667","129680161"
"FAPP-cpupa","Thread","0","2","10","all","0","1","150139296","2982225251","221327360","20","3104853","281241","794708","84499","171900583","129680161"
"FAPP-cpupa","Thread","0","2","11","all","0","1","144230272","2884507588","221327360","20","3112271","260306","798385","81521","171891800","129680161"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","100812544","2015554495","2629632000","0","36960568","3082368","9443187","1026964","2039972075","1540753800"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","8402304","167981388","219136000","0","3099121","188247","774063","105667","170041466","128396150"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","8402272","167982566","219136000","0","3082328","246084","791269","84105","169994960","128396150"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","8398304","167919235","219136000","0","3079921","265091","785726","88606","169993835","128396150"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","8402208","167982166","219136000","0","3078883","309742","787246","85353","169994007","128396150"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","8402336","167983518","219136000","0","3081123","336954","788329","85370","169993272","128396150"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","8398752","167927548","219136000","0","3077278","223866","786505","85063","169993907","128396150"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","8402176","167980635","219136000","0","3077720","188003","786514","84361","169992969","128396150"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","8398368","167920797","219136000","0","3080509","245115","790978","82607","169993668","128396150"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","8402336","167982236","219136000","0","3074052","280248","786033","82215","169993103","128396150"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","8398944","167930359","219136000","0","3075693","266771","789162","79879","169994076","128396150"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","8402144","167981881","219136000","0","3073290","276387","786860","83298","169993809","128396150"
