"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:48 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","e28-6209c","3","48"
"FAPP-core","0","3","1","e28-6209c","3","49"
"FAPP-core","0","3","2","e28-6209c","3","50"
"FAPP-core","0","3","3","e28-6209c","3","51"
"FAPP-core","0","3","4","e28-6209c","3","52"
"FAPP-core","0","3","5","e28-6209c","3","53"
"FAPP-core","0","3","6","e28-6209c","3","54"
"FAPP-core","0","3","7","e28-6209c","3","55"
"FAPP-core","0","3","8","e28-6209c","3","56"
"FAPP-core","0","3","9","e28-6209c","3","57"
"FAPP-core","0","3","10","e28-6209c","3","58"
"FAPP-core","0","3","11","e28-6209c","3","59"
"FAPP-core","0","0","0","e28-6209c","0","12"
"FAPP-core","0","0","1","e28-6209c","0","13"
"FAPP-core","0","0","2","e28-6209c","0","14"
"FAPP-core","0","0","3","e28-6209c","0","15"
"FAPP-core","0","0","4","e28-6209c","0","16"
"FAPP-core","0","0","5","e28-6209c","0","17"
"FAPP-core","0","0","6","e28-6209c","0","18"
"FAPP-core","0","0","7","e28-6209c","0","19"
"FAPP-core","0","0","8","e28-6209c","0","20"
"FAPP-core","0","0","9","e28-6209c","0","21"
"FAPP-core","0","0","10","e28-6209c","0","22"
"FAPP-core","0","0","11","e28-6209c","0","23"
"FAPP-core","0","2","0","e28-6209c","2","36"
"FAPP-core","0","2","1","e28-6209c","2","37"
"FAPP-core","0","2","2","e28-6209c","2","38"
"FAPP-core","0","2","3","e28-6209c","2","39"
"FAPP-core","0","2","4","e28-6209c","2","40"
"FAPP-core","0","2","5","e28-6209c","2","41"
"FAPP-core","0","2","6","e28-6209c","2","42"
"FAPP-core","0","2","7","e28-6209c","2","43"
"FAPP-core","0","2","8","e28-6209c","2","44"
"FAPP-core","0","2","9","e28-6209c","2","45"
"FAPP-core","0","2","10","e28-6209c","2","46"
"FAPP-core","0","2","11","e28-6209c","2","47"
"FAPP-core","0","1","0","e28-6209c","1","24"
"FAPP-core","0","1","1","e28-6209c","1","25"
"FAPP-core","0","1","2","e28-6209c","1","26"
"FAPP-core","0","1","3","e28-6209c","1","27"
"FAPP-core","0","1","4","e28-6209c","1","28"
"FAPP-core","0","1","5","e28-6209c","1","29"
"FAPP-core","0","1","6","e28-6209c","1","30"
"FAPP-core","0","1","7","e28-6209c","1","31"
"FAPP-core","0","1","8","e28-6209c","1","32"
"FAPP-core","0","1","9","e28-6209c","1","33"
"FAPP-core","0","1","10","e28-6209c","1","34"
"FAPP-core","0","1","11","e28-6209c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.694624","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.085712","-","-","1"
"FAPP-time-stat","0","0","all","0","4.674354","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.085588","-","-","1"
"FAPP-time-stat","0","2","all","0","4.644916","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.085929","-","-","1"
"FAPP-time-stat","0","1","all","0","4.627815","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.085981","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Process","0","3","-","all","0","12","2061079904","37344633306","417","1076","304","55535454900","52683665549","3470966473","3292729638","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","469466112","5645373684","417","1076","304","47869808068","47454196749","2991863556","2965887840","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","144029152","2880490982","0","0","0","696974688","474995488","43560918","29687218","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","144004320","2843063365","0","0","0","697388976","474921728","43586810","29682609","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","144403680","2883839461","0","0","0","696906752","475081584","43556671","29692600","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","144003136","2859353222","0","0","0","696913456","475445952","43557091","29715368","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","144005952","2854098500","0","0","0","696962736","475112336","43560172","29694520","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","136441920","2728742801","0","0","0","696183616","475841728","43511471","29740107","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","144002944","2870382823","0","0","0","698226224","475835776","43639139","29739736","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","144001600","2877580121","0","0","0","697217712","474943872","43576107","29683992","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","151329696","2995128508","0","0","0","695698048","476345648","43481127","29771603","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","151387168","3027641364","0","0","0","696173440","475890736","43510838","29743172","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","144004224","2878938475","0","0","0","697001184","475053952","43562573","29690873","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","102921024","2057668404","0","0","0","8268658336","5645704880","516791146","352856553","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","8577696","171485686","0","0","0","690456448","470547696","43153528","29409231","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","8573792","171429939","0","0","0","689055648","470098832","43065977","29381178","0"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","8577632","171486145","0","0","0","689324048","469872288","43082752","29367018","0"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","8577632","171485134","0","0","0","688992608","470162640","43062038","29385165","0"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","8577632","171484691","0","0","0","688852112","470399936","43053256","29399996","0"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","8577728","171485902","0","0","0","689047728","470199072","43065484","29387440","0"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","8573952","171432730","0","0","0","688325056","470940288","43020316","29433769","0"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","8577728","171486265","0","0","0","690303280","470929664","43143957","29433102","0"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","8574176","171436995","0","0","0","689266272","470003824","43079141","29375239","0"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","8577664","171485515","0","0","0","687747328","471437280","42984208","29464831","0"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","8577632","171483961","0","0","0","688207696","470957024","43012982","29434813","0"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","8577760","171485441","0","0","0","689080112","470156336","43067507","29384771","0"
"FAPP-cpupa","Process","0","0","-","all","0","12","2086666368","36779518124","417","1019","311","35742126696","32875869391","2233882398","2054741851","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","467439200","4543037554","417","1019","311","28068848024","27643593119","1754302495","1727724587","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","145692896","2912661821","0","0","0","697195936","474658304","43574745","29666145","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","146050688","2916783877","0","0","0","696633904","475299264","43539619","29706202","0"
