"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:24 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","0","4","all","0","1","169873024","3396256409","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","169873280","3387680994","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","169866400","3381996159","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","169868992","3397350177","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","170049184","3391028419","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","169866432","3382213206","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","170043680","3400741913","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","162314688","3242061048","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","371503040","7429389349","204","0","1769472000","0","1777344000","7872024","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","30960672","619135652","17","0","147456000","0","148112000","656013","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","30959776","619135506","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","30959552","619135867","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","30959584","619134146","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","30956064","619076163","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","30959584","619134696","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","30959712","619135192","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","30959584","619135955","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","30955840","619071832","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","30959712","619135560","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","30953376","619022654","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","30959584","619136126","17","0","147456000","0","148112000","656001","0","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2365097664","44477098199","2295","0","1787168560","492","1795491820","17039281","0","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","480474112","6932493943","1921","0","148932400","492","149967500","9750780","0","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","169804704","3386416557","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","162233088","3224030695","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","169803712","3394876293","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","170199392","3367089302","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","169798592","3364460324","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","3","6","all","0","1","181753440","3634968028","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","3","7","all","0","1","169843136","3392564850","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","3","8","all","0","1","169798400","3393580008","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","3","9","all","0","1","169797472","3395920913","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","3","10","all","0","1","181792544","3609837449","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Thread","0","3","11","all","0","1","169799072","3380859837","34","0","148930560","0","149593120","662591","0","0"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","371572832","7430754694","204","0","1769472000","0","1777344000","7872024","0","0"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","30965696","619247456","17","0","147456000","0","148112000","656013","0","0"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","30965600","619248601","17","0","147456000","0","148112000","656001","0","0"
