"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:33 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.954183","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312387","-","-","1"
"FAPP-time-stat","0","1","all","0","4.934028","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312663","-","-","1"
"FAPP-time-stat","0","2","all","0","4.898527","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312493","-","-","1"
"FAPP-time-stat","0","3","all","0","4.883955","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316372","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0185","0x0182","0x0183","0x0180","0x0181","0x0187","0x0188","0x018a"
"FAPP-cpupa","Thread","0","1","2","all","0","1","173152768","3461860887","4297546","4832011","148525","22290487","202160","0","0","369694382"
"FAPP-cpupa","Thread","0","1","3","all","0","1","165282080","3279578352","4252608","4716078","159151","22314488","201049","0","0","369682547"
"FAPP-cpupa","Thread","0","1","4","all","0","1","165323232","3296799419","4274931","5126136","141778","22668731","224824","0","0","369525613"
"FAPP-cpupa","Thread","0","1","5","all","0","1","173101760","3459660314","4271834","4957756","148845","22392311","195453","0","0","369596409"
"FAPP-cpupa","Thread","0","1","6","all","0","1","165323680","3285920347","4225555","5396192","160489","22222269","192590","0","0","369260684"
"FAPP-cpupa","Thread","0","1","7","all","0","1","178496832","3538493639","4280302","5406763","153894","22522376","178768","0","0","369412362"
"FAPP-cpupa","Thread","0","1","8","all","0","1","165322848","3302171230","4242933","5514947","151819","22568312","206552","0","0","369457340"
"FAPP-cpupa","Thread","0","1","9","all","0","1","173484416","3469594311","4239667","5562348","157150","22306127","176165","0","0","369407329"
"FAPP-cpupa","Thread","0","1","10","all","0","1","173306240","3429237353","4233243","5498556","149220","22076253","179557","0","0","369424713"
"FAPP-cpupa","Thread","0","1","11","all","0","1","165317056","3306240463","4243967","5781725","157592","22106917","212356","0","0","369477850"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","375253088","7504372714","39342756","59925166","1144473","265748185","1759921","0","0","4393539783"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","31272640","625383786","3851467","3753646","80130","22998998","173200","0","0","369307700"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","31272512","625384574","3198576","4515135","95583","22043137","118692","0","0","365993220"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","31269152","625338849","3248645","4722582","92249","22012813","152594","0","0","366022689"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","31269376","625344225","3259462","4603293","101360","22048934","156507","0","0","366012892"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","31272512","625385168","3270584","5017376","89100","22384787","173969","0","0","365856027"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","31272608","625385573","3221774","4848267","94687","22104273","140464","0","0","365928225"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","31272320","625384811","3218230","5274940","100778","21951572","135242","0","0","365591750"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","31272416","625384334","3201181","5290088","95999","22237482","126900","0","0","365744841"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","31269152","625337582","3241709","5398234","96329","22286212","157901","0","0","365786532"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","31269856","625344840","3192145","5447730","99995","22023884","127546","0","0","365736503"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","31272576","625385305","3186715","5386987","94833","21820532","127381","0","0","365752341"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","31267968","625313667","3252268","5666888","103430","21835561","169525","0","0","365807063"
"FAPP-cpupa","Process","0","2","-","all","0","12","2303891456","40386175493","553655693","109877747","48138852","296074335","24732329","0","0","4973957230"
"FAPP-cpupa","Thread","0","2","0","all","0","1","489856448","4303550862","506929583","52496631","46464179","50092103","22316061","0","0","909451378"
"FAPP-cpupa","Thread","0","2","1","all","0","1","161323328","3205152089","4207518","4628950","146536","22344728","216758","0","0","369652583"
"FAPP-cpupa","Thread","0","2","2","all","0","1","161323968","3212036197","4247736","4835377","144658","22462016","228335","0","0","369673621"
"FAPP-cpupa","Thread","0","2","3","all","0","1","169329184","3386554355","4276763","4718477","153801","22428363","207007","0","0","369689753"
"FAPP-cpupa","Thread","0","2","4","all","0","1","161373984","3207584887","4263090","5143586","148757","22675195","229468","0","0","369511364"
"FAPP-cpupa","Thread","0","2","5","all","0","1","169356224","3361855718","4251249","4948896","156545","22240374","188971","0","0","369584529"
"FAPP-cpupa","Thread","0","2","6","all","0","1","161595936","3215553673","4210804","5416974","152991","22348108","208031","0","0","369244386"
"FAPP-cpupa","Thread","0","2","7","all","0","1","161324096","3226450299","4187791","5382487","148752","22416209","196283","0","0","369408566"
"FAPP-cpupa","Thread","0","2","8","all","0","1","161324480","3199169543","4257277","5496407","156541","22538167","254086","0","0","369464616"
"FAPP-cpupa","Thread","0","2","9","all","0","1","176291712","3495120748","4273501","5535163","155789","22343094","191005","0","0","369403978"
"FAPP-cpupa","Thread","0","2","10","all","0","1","161323456","3210597743","4220486","5514812","147303","22054801","241142","0","0","369410298"
"FAPP-cpupa","Thread","0","2","11","all","0","1","169468640","3362549379","4329895","5759987","163000","22131177","255182","0","0","369462158"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","375053248","7500349446","39421266","59766585","1139272","265532503","1960750","0","0","4393586337"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","31255776","625045215","3746163","3609242","86094","22704388","190404","0","0","369335909"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","31255808","625050182","3223872","4525609","90944","22053601","153364","0","0","365990611"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","31251904","624991454","3264350","4731069","92279","22179374","169397","0","0","366012287"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","31255776","625050348","3255646","4619262","101693","22139553","152561","0","0","366029103"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","31252128","624996538","3277620","5029822","88131","22391027","175236","0","0","365850788"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","31255744","625049485","3216974","4834863","94990","21971655","133770","0","0","365922563"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","31255680","625048845","3226872","5306483","99763","22051433","144854","0","0","365588679"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","31255840","625050516","3206729","5272426","94721","22121676","132706","0","0","365750296"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","31251680","624986643","3274286","5378994","96057","22255361","198666","0","0","365804775"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","31255584","625049783","3197856","5416331","97231","22056279","132595","0","0","365744977"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","31255776","625048313","3235593","5405671","95218","21756083","174194","0","0","365752661"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","31251552","624982124","3295305","5636813","102151","21852073","203003","0","0","365803688"
"FAPP-cpupa","Process","0","3","-","all","0","12","2319196384","40762422446","587711332","113201828","51095356","355884708","24829720","0","0","4969201368"
"FAPP-cpupa","Thread","0","3","0","all","0","1","488399296","4412914707","539488434","56517239","49317899","60694937","22392678","0","0","913421601"
"FAPP-cpupa","Thread","0","3","1","all","0","1","163374016","3244222819","4383906","4480901","167815","27185513","221577","0","0","368674023"
"FAPP-cpupa","Thread","0","3","2","all","0","1","163374208","3267454122","4299380","4645737","147922","27101906","170786","0","0","368728605"
"FAPP-cpupa","Thread","0","3","3","all","0","1","163366752","3234611211","4346512","4921821","152821","27116503","222187","0","0","368708420"
"FAPP-cpupa","Thread","0","3","4","all","0","1","163323808","3237136211","4361234","4751126","151909","27056409","244920","0","0","368833727"
"FAPP-cpupa","Thread","0","3","5","all","0","1","163595520","3237687831","4327665","5190608","152765","26701244","199189","0","0","368671633"
"FAPP-cpupa","Thread","0","3","6","all","0","1","163324640","3244743780","4381694","5295833","177816","26779834","218017","0","0","368693060"
"FAPP-cpupa","Thread","0","3","7","all","0","1","163323552","3231652249","4408338","5311164","152110","26864242","248304","0","0","368668771"
"FAPP-cpupa","Thread","0","3","8","all","0","1","171368864","3411015488","4450228","5419330","174789","26343537","238577","0","0","368723181"
"FAPP-cpupa","Thread","0","3","9","all","0","1","163374528","3238710603","4321433","5382564","156208","26721639","193794","0","0","368634137"
"FAPP-cpupa","Thread","0","3","10","all","0","1","180800064","3588663512","4454211","5737925","159311","26398026","220673","0","0","368731353"
"FAPP-cpupa","Thread","0","3","11","all","0","1","171571136","3413609913","4488297","5547580","183991","26920918","259018","0","0","368712857"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","379706432","7593424731","40807860","59069277","1151260","322418211","1989413","0","0","4384457245"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","31643840","632805391","3846569","3699243","84160","30916198","184105","0","0","368839467"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","31643648","632808684","3359976","4358326","94442","26838833","160659","0","0","365022532"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","31643424","632810864","3317029","4541932","93057","26772752","122613","0","0","365077514"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","31643840","632810280","3355884","4813102","95911","26785103","163057","0","0","365058955"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","31640192","632758727","3375255","4648270","98923","26726878","189147","0","0","365180896"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","31643520","632809141","3338463","5077839","96141","26368081","141681","0","0","365020606"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","31643648","632809154","3348869","5161591","98052","26434199","153940","0","0","365041363"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","31637344","632700402","3418371","5195610","96010","26533605","196061","0","0","365018056"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","31639808","632748239","3362941","5285943","97864","26004657","173971","0","0","365072181"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","31643808","632810157","3332048","5266978","98162","26388317","141598","0","0","364983211"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","31639584","632744811","3349622","5617435","97934","26070002","166222","0","0","365080503"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","31643776","632808881","3402833","5403008","100604","26579586","196359","0","0","365061961"
