"FAPP-cpupa","Thread","0","0","1","all","0","1","165181440","3301244624","3079989694","49301320","32269868","0","370749234","2676866138","0","2676593835"
"FAPP-cpupa","Thread","0","0","2","all","0","1","173000256","3459903755","3238597611","49318567","32609984","0","370760143","2835119202","0","2834830826"
"FAPP-cpupa","Thread","0","0","3","all","0","1","165181792","3302431022","3081110823","49306771","32217367","11","370715418","2678074416","0","2677801999"
"FAPP-cpupa","Thread","0","0","4","all","0","1","165132544","3276646740","3055337624","49361170","33174677","10","370581970","2651478607","0","2651211424"
"FAPP-cpupa","Thread","0","0","5","all","0","1","173332608","3446032160","3224760806","49290198","32720568","0","370631222","2821300322","0","2821015239"
"FAPP-cpupa","Thread","0","0","6","all","0","1","165131392","3265732343","3044304160","49544574","32876471","11","370312610","2641012287","0","2640748072"
"FAPP-cpupa","Thread","0","0","7","all","0","1","165176768","3299113469","3077670096","49492749","33095360","10","370492745","2673968897","0","2673666582"
"FAPP-cpupa","Thread","0","0","8","all","0","1","173155008","3447983828","3226591677","49467024","33374804","11","370529313","2822579663","0","2822291963"
"FAPP-cpupa","Thread","0","0","9","all","0","1","183447072","3668906724","3447522969","49438500","33222499","0","370477920","3043709370","0","3043404883"
"FAPP-cpupa","Thread","0","0","10","all","0","1","165131456","3302592978","3081248212","49365038","32767889","0","370450599","2677927299","0","2677658074"
"FAPP-cpupa","Thread","0","0","11","all","0","1","165397600","3276503381","3055093128","49440658","33323425","0","370492327","2651174581","0","2650902578"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","374941216","7498145942","4869068732","585994829","379122222","31","4405556930","84253963","0","83871125"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","31246048","624859690","404680512","49550694","34073890","0","370375308","219643","0","189861"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","31245920","624859536","405959001","48680679","30797755","0","367021173","8128068","0","8093791"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","31246048","624860487","405916802","48691263","31076334","0","367029387","7799513","0","7766069"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","31242272","624800038","405837095","48684939","30753065","11","366987870","8085639","0","8053095"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","31246048","624859710","405904466","48741106","31694507","10","366855636","7343139","0","7313958"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","31242560","624805333","405898366","48661106","31191285","0","366901825","7793721","0","7760206"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","31245760","624859669","405785705","48922465","31417855","0","366588380","7767769","0","7734484"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","31242528","624804391","405742026","48856584","31500793","10","366758821","7471870","0","7441408"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","31245888","624859798","405830807","48837983","31841740","0","366797793","7180366","0","7148827"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","31246048","624859149","405844959","48802717","31623604","0","366747977","7461906","0","7430569"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","31246112","624859232","405865692","48745880","31311184","0","366726572","7816535","0","7783858"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","31245984","624858909","405803301","48819413","31840210","0","366766188","7185794","0","7154999"
"FAPP-cpupa","Process","0","3","-","all","0","12","2298485984","40159450700","35982620583","879714619","1295869904","21","5051153851","29525662941","0","29418241174"
"FAPP-cpupa","Thread","0","3","0","all","0","1","484996256","4140646746","2398720882","337057009","884150583","10","983702762","422066649","0","317637530"
"FAPP-cpupa","Thread","0","3","1","all","0","1","161242496","3224816252","3003542816","49226719","37197409","0","369715048","2596530398","0","2596265904"
"FAPP-cpupa","Thread","0","3","2","all","0","1","169432800","3368158509","3146811649","49310497","37355546","11","369777381","2739571448","0","2739287068"
"FAPP-cpupa","Thread","0","3","3","all","0","1","169057888","3364843372","3143482611","49330406","37531337","0","369740939","2736103865","0","2735818966"
"FAPP-cpupa","Thread","0","3","4","all","0","1","176793024","3535762388","3314410335","49303226","37134548","0","369893198","2907272388","0","2906980850"
"FAPP-cpupa","Thread","0","3","5","all","0","1","161243936","3186716660","2965311115","49377545","37299216","0","369718760","2558193595","0","2557932653"
"FAPP-cpupa","Thread","0","3","6","all","0","1","161237504","3192035816","2970688848","49315099","37416733","0","369747263","2563423977","0","2563159816"
"FAPP-cpupa","Thread","0","3","7","all","0","1","161502272","3193209312","2971878793","49317313","37754331","0","369766798","2564258559","0","2563998933"
"FAPP-cpupa","Thread","0","3","8","all","0","1","161238048","3197552901","2976173125","49383697","36962710","0","369804498","2569304390","0","2569038719"
"FAPP-cpupa","Thread","0","3","9","all","0","1","161237632","3202929247","2981522088","49389975","37541201","0","369710856","2574168208","0","2573900182"
"FAPP-cpupa","Thread","0","3","10","all","0","1","161238624","3198922208","2977588020","49332590","37633640","0","369778544","2570074744","0","2569805416"
"FAPP-cpupa","Thread","0","3","11","all","0","1","169265504","3353857289","3132490301","49370543","37892650","0","369797804","2724694720","0","2724415137"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","379630432","7591911737","4962699041","585394975","437306825","11","4396342918","128910862","0","128524293"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","31637248","632676123","412462198","49557902","42403253","0","369791675","254734","0","217565"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","31637216","632680684","413752806","48613376","35717990","0","366000006","12022875","0","11990027"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","31633152","632616111","413632987","48684803","35779465","11","366055107","11787380","0","11756334"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","31636928","632678413","413680062","48704201","35962588","0","366022105","11683811","0","11652994"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","31632928","632613693","413625912","48674789","35552299","0","366170559","11891942","0","11859445"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","31637344","632679866","413623180","48761705","35813353","0","366004677","11793112","0","11761423"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","31637120","632680303","413683239","48699036","35920900","0","366031025","11719369","0","11685796"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","31637088","632679243","413697259","48702470","36263859","0","366049501","11373041","0","11343155"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","31637184","632679661","413653989","48764901","35428768","0","366087544","12125420","0","12092608"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","31633632","632626504","413574194","48771515","36017992","0","365992610","11552709","0","11520212"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","31637248","632681091","413698857","48714995","36103569","0","366060646","11522791","0","11490010"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","31633344","632620045","413614358","48745282","36342789","0","366077463","11183678","0","11154724"
"FAPP-cpupa","Process","0","1","-","all","0","12","2346722048","43004312450","37158926326","906198790","1282269584","31","5069277482","30684872711","0","30570689037"
"FAPP-cpupa","Thread","0","1","0","all","0","1","483135296","5880635774","2470139210","362857220","919646747","0","993082940","436072788","0","324984249"
