"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:52 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","1","4","all","0","1","161324992","3208199525","28457655","747","0","3973012","133","0","28440694","2952"
"FAPP-cpupa","Thread","0","1","5","all","0","1","161283104","3225569707","28457947","747","0","3973864","133","0","28441171","3157"
"FAPP-cpupa","Thread","0","1","6","all","0","1","169582624","3369456167","28461415","747","0","3977225","133","0","28443775","5294"
"FAPP-cpupa","Thread","0","1","7","all","0","1","161284640","3203712413","28457229","747","0","3972913","133","0","28440656","2922"
"FAPP-cpupa","Thread","0","1","8","all","0","1","161332416","3226616511","28459385","747","0","3974056","133","0","28442153","3157"
"FAPP-cpupa","Thread","0","1","9","all","0","1","161282432","3198331514","28457423","747","0","3972930","133","0","28440659","2922"
"FAPP-cpupa","Thread","0","1","10","all","0","1","161552896","3203418577","28458720","747","0","3973214","133","0","28441710","2923"
"FAPP-cpupa","Thread","0","1","11","all","0","1","176155808","3506359551","28463817","747","0","3981856","133","0","28444872","5400"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","375170912","7502707134","328724769","0","0","36944909","0","0","328718827","3252"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","31265472","625237465","27393746","0","0","3078745","0","0","27393199","271"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","31265344","625243072","27393874","0","0","3078760","0","0","27393294","271"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","31265472","625243234","27393887","0","0","3078761","0","0","27393298","271"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","31265472","625244078","27393941","0","0","3078761","0","0","27393339","271"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","31261920","625193451","27393467","0","0","3078714","0","0","27393158","271"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","31261792","625191261","27393425","0","0","3078713","0","0","27393078","271"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","31265440","625242652","27393887","0","0","3078758","0","0","27393292","271"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","31261568","625187659","27393447","0","0","3078714","0","0","27393131","271"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","31265440","625243560","27393916","0","0","3078759","0","0","27393319","271"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","31262144","625196035","27393467","0","0","3078714","0","0","27393154","271"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","31265472","625242162","27393845","0","0","3078755","0","0","27393274","271"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","31265376","625242505","27393867","0","0","3078755","0","0","27393291","271"
"FAPP-cpupa","Process","0","2","-","all","0","12","2344305440","41670751663","341129310","60","0","47977580","19","0","341007440","23115"
"FAPP-cpupa","Thread","0","2","0","all","0","1","489448896","4721966390","28489184","5","0","4558074","19","0","28469640","3362"
"FAPP-cpupa","Thread","0","2","1","all","0","1","173342176","3465659819","28423180","5","0","3947811","0","0","28413267","1981"
"FAPP-cpupa","Thread","0","2","2","all","0","1","165455616","3271987921","28421277","5","0","3946229","0","0","28412326","1685"
"FAPP-cpupa","Thread","0","2","3","all","0","1","165189344","3303686825","28421219","5","0","3946194","0","0","28412296","1686"
"FAPP-cpupa","Thread","0","2","4","all","0","1","165190656","3301382894","28421224","5","0","3946158","0","0","28412295","1686"
"FAPP-cpupa","Thread","0","2","5","all","0","1","165238304","3278705006","28421216","5","0","3946121","0","0","28412307","1679"
"FAPP-cpupa","Thread","0","2","6","all","0","1","165238016","3300482643","28421295","5","0","3946189","0","0","28412327","1686"
"FAPP-cpupa","Thread","0","2","7","all","0","1","165188288","3283091308","28420459","5","0","3945935","0","0","28411572","1684"
"FAPP-cpupa","Thread","0","2","8","all","0","1","173258080","3465132061","28423160","5","0","3948273","0","0","28413250","1972"
"FAPP-cpupa","Thread","0","2","9","all","0","1","173189408","3453998384","28421820","5","0","3947180","0","0","28411949","1970"
"FAPP-cpupa","Thread","0","2","10","all","0","1","165232992","3273155560","28421192","5","0","3946119","0","0","28412314","1679"
"FAPP-cpupa","Thread","0","2","11","all","0","1","178333664","3551502852","28424084","5","0","3953297","0","0","28413897","2045"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","375236704","7503996031","328781616","0","0","36937747","0","0","328772641","1428"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","31270464","625342860","27398476","0","0","3078145","0","0","27397741","119"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","31270048","625343834","27398508","0","0","3078156","0","0","27397737","119"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","31270432","625342774","27398473","0","0","3078143","0","0","27397734","119"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","31270432","625342539","27398484","0","0","3078148","0","0","27397716","119"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","31270496","625342849","27398500","0","0","3078150","0","0","27397738","119"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","31270464","625342424","27398479","0","0","3078145","0","0","27397736","119"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","31270496","625344083","27398538","0","0","3078157","0","0","27397748","119"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","31266496","625284299","27398315","0","0","3078119","0","0","27397639","119"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","31270208","625344345","27398526","0","0","3078158","0","0","27397752","119"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","31266304","625279038","27398301","0","0","3078118","0","0","27397623","119"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","31270400","625343355","27398507","0","0","3078152","0","0","27397742","119"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","31270464","625343631","27398509","0","0","3078156","0","0","27397735","119"
"FAPP-cpupa","Process","0","3","-","all","0","12","2322860352","40689750235","322958095","60","0","48028787","22","0","322815742","44839"
"FAPP-cpupa","Thread","0","3","0","all","0","1","486326976","4216753219","26974118","5","0","4572502","22","0","26952413","6776"
"FAPP-cpupa","Thread","0","3","1","all","0","1","163413216","3242501710","26907099","5","0","3948871","0","0","26896559","2698"
"FAPP-cpupa","Thread","0","3","2","all","0","1","163141824","3226571805","26907063","5","0","3948809","0","0","26896514","2695"
"FAPP-cpupa","Thread","0","3","3","all","0","1","163191328","3243438891","26905980","5","0","3948518","0","0","26895724","2717"
"FAPP-cpupa","Thread","0","3","4","all","0","1","170986240","3388903319","26908141","5","0","3951704","0","0","26896660","4732"
"FAPP-cpupa","Thread","0","3","5","all","0","1","163184288","3248746817","26906076","5","0","3948585","0","0","26895826","2717"
"FAPP-cpupa","Thread","0","3","6","all","0","1","171357344","3405270145","26908308","5","0","3952281","0","0","26896975","4760"
"FAPP-cpupa","Thread","0","3","7","all","0","1","163184480","3230995049","26907049","5","0","3948825","0","0","26896513","2697"
"FAPP-cpupa","Thread","0","3","8","all","0","1","180516768","3610240037","26911147","5","0","3958772","0","0","26898138","4900"
"FAPP-cpupa","Thread","0","3","9","all","0","1","163185312","3232500203","26907059","5","0","3948804","0","0","26896508","2697"
"FAPP-cpupa","Thread","0","3","10","all","0","1","171187904","3407388871","26909004","5","0","3952297","0","0","26897396","4753"
