"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:26 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.861981","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312387","-","-","1"
"FAPP-time-stat","0","1","all","0","4.838732","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.316883","-","-","1"
"FAPP-time-stat","0","2","all","0","4.813723","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312521","-","-","1"
"FAPP-time-stat","0","3","all","0","4.736404","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316354","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8010","0x8028","0x8034","0x0070","0x0071","0x8085","0x8086","0x8087"
"FAPP-cpupa","Thread","0","1","0","all","0","1","483877184","5993475872","411522599","49660782","1763","5060851373","374385657","201962119","62290297","6270486"
"FAPP-cpupa","Thread","0","1","1","all","0","1","164008672","3254979265","289587220","49643520","0","94662472","41968659","88299637","39302441","6205577"
"FAPP-cpupa","Thread","0","1","2","all","0","1","164009248","3249377257","289587220","49643520","0","94671258","41973085","88299637","39302441","6205583"
"FAPP-cpupa","Thread","0","1","3","all","0","1","164281504","3285597680","289587220","49643520","0","94661147","41968020","88299637","39302441","6205578"
"FAPP-cpupa","Thread","0","1","4","all","0","1","164008352","3260353756","289587220","49643520","0","94663194","41969084","88299637","39302441","6205577"
"FAPP-cpupa","Thread","0","1","5","all","0","1","164058112","3254206158","289587220","49643520","0","94662559","41968740","88299637","39302441","6205578"
"FAPP-cpupa","Thread","0","1","6","all","0","1","164052320","3248587492","289587220","49643520","0","94663280","41969127","88299637","39302441","6205578"
"FAPP-cpupa","Thread","0","1","7","all","0","1","177867200","3557313631","289587220","49643520","0","94662680","41969474","88299637","39302441","6205578"
"FAPP-cpupa","Thread","0","1","8","all","0","1","169944512","3382759000","289587220","49643520","0","94664017","41969781","88299637","39302441","6205577"
"FAPP-cpupa","Thread","0","1","9","all","0","1","170134656","3366613740","289587220","49643520","0","94663833","41969644","88299637","39302441","6205578"
"FAPP-cpupa","Thread","0","1","10","all","0","1","170056736","3359612348","289587220","49643520","0","94662756","41969081","88299637","39302441","6205577"
"FAPP-cpupa","Thread","0","1","11","all","0","1","164052864","3243153310","289587220","49643520","0","94662595","41968727","88299637","39302441","6205576"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","380308864","7605537689","3440640000","589824000","0","1124389478","498387789","1049107311","466962715","73729284"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","31694304","633823610","286720000","49152000","0","93709442","41539616","87429473","38917240","6144107"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","31694304","633824490","286720000","49152000","0","93698262","41531693","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","31689920","633754026","286720000","49152000","0","93698250","41531687","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","31694208","633824776","286720000","49152000","0","93698226","41531671","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","31690560","633766011","286720000","49152000","0","93698030","41531577","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","31694144","633824389","286720000","49152000","0","93698248","41531682","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","31690304","633761313","286720000","49152000","0","93698108","41531616","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","31694112","633824344","286720000","49152000","0","93698196","41531656","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","31690176","633756335","286720000","49152000","0","93698022","41531569","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","31691744","633783686","286720000","49152000","0","93698238","41531676","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","31694272","633824454","286720000","49152000","0","93698252","41531683","87425258","38913225","6144107"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","31690816","633770255","286720000","49152000","0","93698204","41531663","87425258","38913225","6144107"
"FAPP-cpupa","Process","0","2","-","all","0","12","2305614496","42340695532","3596982019","595739502","1763","5758391525","836576974","1173260926","494620067","74531842"
"FAPP-cpupa","Thread","0","2","0","all","0","1","481376160","5894470873","411522599","49660782","1763","4717093355","374913694","201964919","62293216","6270484"
