"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:09:19 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","1","0","i31-4201c","1","24"
"FAPP-core","0","1","1","i31-4201c","1","25"
"FAPP-core","0","1","2","i31-4201c","1","26"
"FAPP-core","0","1","3","i31-4201c","1","27"
"FAPP-core","0","1","4","i31-4201c","1","28"
"FAPP-core","0","1","5","i31-4201c","1","29"
"FAPP-core","0","1","6","i31-4201c","1","30"
"FAPP-core","0","1","7","i31-4201c","1","31"
"FAPP-core","0","1","8","i31-4201c","1","32"
"FAPP-core","0","1","9","i31-4201c","1","33"
"FAPP-core","0","1","10","i31-4201c","1","34"
"FAPP-core","0","1","11","i31-4201c","1","35"
"FAPP-core","0","2","0","i31-4201c","2","36"
"FAPP-core","0","2","1","i31-4201c","2","37"
"FAPP-core","0","2","2","i31-4201c","2","38"
"FAPP-core","0","2","3","i31-4201c","2","39"
"FAPP-core","0","2","4","i31-4201c","2","40"
"FAPP-core","0","2","5","i31-4201c","2","41"
"FAPP-core","0","2","6","i31-4201c","2","42"
"FAPP-core","0","2","7","i31-4201c","2","43"
"FAPP-core","0","2","8","i31-4201c","2","44"
"FAPP-core","0","2","9","i31-4201c","2","45"
"FAPP-core","0","2","10","i31-4201c","2","46"
"FAPP-core","0","2","11","i31-4201c","2","47"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-core","0","3","1","i31-4201c","3","49"
"FAPP-core","0","3","2","i31-4201c","3","50"
"FAPP-core","0","3","3","i31-4201c","3","51"
"FAPP-core","0","3","4","i31-4201c","3","52"
"FAPP-core","0","3","5","i31-4201c","3","53"
"FAPP-core","0","3","6","i31-4201c","3","54"
"FAPP-core","0","3","7","i31-4201c","3","55"
"FAPP-core","0","3","8","i31-4201c","3","56"
"FAPP-core","0","3","9","i31-4201c","3","57"
"FAPP-core","0","3","10","i31-4201c","3","58"
"FAPP-core","0","3","11","i31-4201c","3","59"
"FAPP-core","0","0","0","i31-4201c","0","12"
"FAPP-core","0","0","1","i31-4201c","0","13"
"FAPP-core","0","0","2","i31-4201c","0","14"
"FAPP-core","0","0","3","i31-4201c","0","15"
"FAPP-core","0","0","4","i31-4201c","0","16"
"FAPP-core","0","0","5","i31-4201c","0","17"
"FAPP-core","0","0","6","i31-4201c","0","18"
"FAPP-core","0","0","7","i31-4201c","0","19"
"FAPP-core","0","0","8","i31-4201c","0","20"
"FAPP-core","0","0","9","i31-4201c","0","21"
"FAPP-core","0","0","10","i31-4201c","0","22"
"FAPP-core","0","0","11","i31-4201c","0","23"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","1","all","0","4.923389","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.312629","-","-","1"
"FAPP-time-stat","0","2","all","0","4.896891","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.312708","-","-","1"
"FAPP-time-stat","0","3","all","0","4.894223","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.316325","-","-","1"
"FAPP-time-stat","0","0","all","0","4.878338","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.312513","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Thread","0","2","1","all","0","1","166331200","3295472405","738603","2351856","1725817","3181128","1082823","28183040","0","123772"
"FAPP-cpupa","Thread","0","2","2","all","0","1","166108992","3285584320","733526","2350154","1725573","3176975","1080718","28183040","0","127937"
"FAPP-cpupa","Thread","0","2","3","all","0","1","166109792","3290395337","739275","2337351","1718570","3160423","1079608","28183040","0","121792"
"FAPP-cpupa","Thread","0","2","4","all","0","1","166109280","3301821251","735566","2350986","1726487","3177985","1081076","28183040","0","125157"
"FAPP-cpupa","Thread","0","2","5","all","0","1","166060000","3300224971","740562","2350218","1725354","3176638","1079959","28183040","0","119715"
"FAPP-cpupa","Thread","0","2","6","all","0","1","166108256","3280066817","740044","2337906","1719047","3159886","1077275","28183040","0","120455"
"FAPP-cpupa","Thread","0","2","7","all","0","1","182294080","3645849955","741170","2337619","1717268","3160803","1079791","28183040","0","119451"
"FAPP-cpupa","Thread","0","2","8","all","0","1","172099360","3441893870","737981","2335867","1716387","3156403","1078717","28183040","0","121370"
"FAPP-cpupa","Thread","0","2","9","all","0","1","172301920","3419682868","745995","2340515","1719753","3161209","1077750","28183040","0","112798"
"FAPP-cpupa","Thread","0","2","10","all","0","1","166102752","3284815335","740215","2337839","1719827","3158009","1076389","28183040","0","121379"
"FAPP-cpupa","Thread","0","2","11","all","0","1","166096000","3306395702","747496","2340452","1720785","3169305","1078073","28183040","0","114364"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","375302976","7505376485","8769647","27789386","20439985","37610536","12824457","334848000","0","1442420"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","31277280","625474181","710654","2286320","1693435","3124541","1073118","27904000","0","128954"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","31276960","625478568","731246","2327430","1708637","3149012","1071858","27904000","0","122385"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","31276800","625478519","726219","2325687","1708420","3144885","1069749","27904000","0","126511"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","31277312","625477715","731885","2312979","1701449","3128267","1068591","27904000","0","120376"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","31270912","625371940","728161","2326403","1709255","3145692","1070066","27904000","0","123818"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","31273376","625422255","733126","2325852","1708232","3144474","1068915","27904000","0","118379"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","31273248","625418869","732670","2313677","1701974","3128098","1066367","27904000","0","119151"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","31276800","625478270","733737","2313528","1700228","3128571","1068635","27904000","0","118125"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","31272768","625407951","730594","2311659","1699379","3124588","1067777","27904000","0","120110"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","31277312","625478739","738525","2316133","1702617","3129119","1066836","27904000","0","111496"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","31277280","625477965","732840","2313616","1702726","3126028","1065436","27904000","0","119988"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","31272928","625411513","739990","2316102","1703633","3137261","1067109","27904000","0","113127"
"FAPP-cpupa","Process","0","3","-","all","0","12","2302933408","40929776299","8597776","29062481","18164935","36850339","13802026","338196853","250","1108750"
"FAPP-cpupa","Thread","0","3","0","all","0","1","489425920","4945615011","768586","4201623","2217946","4073289","1455727","28183413","250","139592"
"FAPP-cpupa","Thread","0","3","1","all","0","1","161731584","3207374902","690363","2260064","1449421","2978422","1125366","28183040","0","108141"
"FAPP-cpupa","Thread","0","3","2","all","0","1","161737536","3202050600","716091","2259793","1449245","2979560","1126900","28183040","0","84008"
