"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:17 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-cpupa","Thread","0","2","3","all","0","1","160700128","3186268521","820305948","41417","8","820226035","1851","1362457","0","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","169782912","3357589685","820348900","45891","10","820260747","2420","1369747","0","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","160703936","3213992095","820297175","41331","12","820217228","1669","1361573","0","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","160703136","3175937699","820292346","40427","7","820214103","1650","1360606","0","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","160701792","3180913883","820297753","40882","9","820218757","1717","1361362","0","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","161016992","3176970620","820293429","40315","5","820215370","1575","1361021","0","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","169886240","3397693536","820304772","43132","6","820221013","1588","1363407","0","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","169840352","3369697935","820317323","43360","6","820233367","1829","1364835","0","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","160698144","3186659574","820302706","41021","7","820223429","1768","1362082","0","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","375384736","7507031324","9743357755","65519","56","9743242297","8915","15697962","0","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","31283584","625607343","811979254","5999","5","811970148","797","1311209","0","0"
