"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:10:02 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","i31-4201c","3","48"
"FAPP-cpupa","Thread","0","2","5","all","0","1","161838944","3209933342","1034338","808","0","0","0","24","10","1362551"
"FAPP-cpupa","Thread","0","2","6","all","0","1","161787552","3210638738","1034338","808","0","0","0","24","10","1361971"
"FAPP-cpupa","Thread","0","2","7","all","0","1","161788000","3205204446","1034338","808","0","0","0","24","10","1361709"
"FAPP-cpupa","Thread","0","2","8","all","0","1","169924992","3371165469","1034338","808","0","0","0","24","10","1364973"
"FAPP-cpupa","Thread","0","2","9","all","0","1","161833376","3214774800","1034338","808","0","0","0","24","10","1362871"
"FAPP-cpupa","Thread","0","2","10","all","0","1","161788128","3200952837","1034338","808","0","0","0","24","10","1361713"
"FAPP-cpupa","Thread","0","2","11","all","0","1","169851424","3373105044","1034338","808","0","0","0","24","10","1365024"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","380074016","7600790057","12288588","9600","0","0","0","96","0","15700670"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","31674144","633419503","1024049","800","0","0","0","8","0","1311265"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","31674080","633419858","1024049","800","0","0","0","8","0","1308361"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","31674048","633418750","1024049","800","0","0","0","8","0","1308105"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","31673856","633419973","1024049","800","0","0","0","8","0","1308158"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","31674240","633420301","1024049","800","0","0","0","8","0","1307826"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","31674208","633418970","1024049","800","0","0","0","8","0","1308430"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","31674240","633419290","1024049","800","0","0","0","8","0","1308099"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","31674208","633418816","1024049","800","0","0","0","8","0","1308182"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","31670304","633360335","1024049","800","0","0","0","8","0","1308060"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","31669920","633351418","1024049","800","0","0","0","8","0","1308177"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","31670656","633366951","1024049","800","0","0","0","8","0","1307983"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","31670112","633355892","1024049","800","0","0","0","8","0","1308024"
"FAPP-cpupa","Process","0","0","-","all","0","12","2336718432","43226607882","12420150","11041","0","0","16","1608890","1600641","2876680583"
"FAPP-cpupa","Thread","0","0","0","all","0","1","491671680","6439883676","1042432","2153","0","0","16","1608626","1600531","2861677833"
"FAPP-cpupa","Thread","0","0","1","all","0","1","163748224","3274934304","1034338","808","0","0","0","24","10","1362052"
"FAPP-cpupa","Thread","0","0","2","all","0","1","172035904","3440626681","1034338","808","0","0","0","24","10","1365089"
"FAPP-cpupa","Thread","0","0","3","all","0","1","163754528","3258260043","1034338","808","0","0","0","24","10","1363633"
"FAPP-cpupa","Thread","0","0","4","all","0","1","171732832","3419483717","1034338","808","0","0","0","24","10","1365413"
"FAPP-cpupa","Thread","0","0","5","all","0","1","163704416","3248093266","1034338","808","0","0","0","24","10","1363060"
"FAPP-cpupa","Thread","0","0","6","all","0","1","163754080","3273947990","1034338","808","0","0","0","24","10","1363138"
"FAPP-cpupa","Thread","0","0","7","all","0","1","183304928","3666066301","1034338","808","0","0","0","24","10","1366827"
"FAPP-cpupa","Thread","0","0","8","all","0","1","163742464","3272409414","1034338","808","0","0","0","24","10","1363273"
"FAPP-cpupa","Thread","0","0","9","all","0","1","171590304","3422141314","1034338","808","0","0","0","24","10","1364785"
"FAPP-cpupa","Thread","0","0","10","all","0","1","163703296","3251861685","1034338","808","0","0","0","24","10","1362150"
"FAPP-cpupa","Thread","0","0","11","all","0","1","163975776","3258899491","1034338","808","0","0","0","24","10","1363330"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","375193184","7503202889","12288588","9600","0","0","0","96","0","15700734"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","31267360","625283172","1024049","800","0","0","0","8","0","1311710"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","31267296","625286644","1024049","800","0","0","0","8","0","1308234"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","31267328","625287481","1024049","800","0","0","0","8","0","1308171"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","31263968","625234351","1024049","800","0","0","0","8","0","1308197"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","31263712","625227742","1024049","800","0","0","0","8","0","1307869"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","31267264","625286878","1024049","800","0","0","0","8","0","1308588"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","31267424","625287652","1024049","800","0","0","0","8","0","1308169"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","31267296","625286884","1024049","800","0","0","0","8","0","1308071"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","31263424","625222431","1024049","800","0","0","0","8","0","1307668"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","31267328","625287130","1024049","800","0","0","0","8","0","1308111"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","31267200","625286482","1024049","800","0","0","0","8","0","1308050"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","31263584","625226042","1024049","800","0","0","0","8","0","1307896"
"FAPP-cpupa","Process","0","1","-","all","0","12","2309571584","40770750230","12420199","11041","0","0","16","1608371","1601386","1096779740"
"FAPP-cpupa","Thread","0","1","0","all","0","1","489702624","4540427897","1042481","2153","0","0","16","1608107","1601276","1081785902"
"FAPP-cpupa","Thread","0","1","1","all","0","1","161660992","3219311673","1034338","808","0","0","0","24","10","1363131"
"FAPP-cpupa","Thread","0","1","2","all","0","1","169673056","3373693774","1034338","808","0","0","0","24","10","1363984"
"FAPP-cpupa","Thread","0","1","3","all","0","1","161932896","3238628281","1034338","808","0","0","0","24","10","1361679"
"FAPP-cpupa","Thread","0","1","4","all","0","1","169810208","3371411690","1034338","808","0","0","0","24","10","1363820"
"FAPP-cpupa","Thread","0","1","5","all","0","1","178744704","3574862630","1034338","808","0","0","0","24","10","1365811"
"FAPP-cpupa","Thread","0","1","6","all","0","1","161660480","3215526081","1034338","808","0","0","0","24","10","1362673"
"FAPP-cpupa","Thread","0","1","7","all","0","1","161711424","3222051852","1034338","808","0","0","0","24","10","1362299"
"FAPP-cpupa","Thread","0","1","8","all","0","1","161659968","3218870413","1034338","808","0","0","0","24","10","1361705"
"FAPP-cpupa","Thread","0","1","9","all","0","1","169700704","3370951759","1034338","808","0","0","0","24","10","1363888"
"FAPP-cpupa","Thread","0","1","10","all","0","1","161653792","3211210750","1034338","808","0","0","0","24","10","1362525"
"FAPP-cpupa","Thread","0","1","11","all","0","1","161660736","3213803430","1034338","808","0","0","0","24","10","1362323"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","380254624","7604376868","12288588","9600","0","0","0","96","0","15701315"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","31688896","633708052","1024049","800","0","0","0","8","0","1311725"
